#"+ Scan (rt: 14.285 min) nostir_75um_sp-r004.d "
#Point,X(Thompsons),Y(Counts)
301,1299.50891,2342.55151367188
302,1299.60685,1525.64306640625
303,1300.01212,2783.826171875
304,1300.22261,1119.02856445313
305,1300.53304,3277.43530273438
306,1300.71324,1175.44958496094
307,1300.78569,1146.388671875
308,1301.04755,1122.42065429688
309,1301.27202,1372.52783203125
310,1301.42702,1182.63720703125
311,1301.68168,1614.65759277344
312,1301.87723,1651.5244140625
313,1302.03622,1972.43139648438
314,1302.18301,1991.19006347656
315,1302.47187,2407.494140625
316,1302.66342,1545.45751953125
317,1302.82754,2051.2109375
318,1303.00465,2168.25708007813
319,1303.15936,2536.90649414063
320,1303.25947,2235.47509765625
321,1303.38896,1532.45922851563
322,1303.50518,1273.39562988281
323,1303.74852,2146.8759765625
324,1303.89065,1459.54907226563
325,1303.99085,1472.10888671875
326,1304.25617,2625.65454101563
327,1304.43933,2486.16528320313
328,1304.53687,1670.34887695313
329,1304.72303,1239.39270019531
330,1304.85254,1616.49133300781
331,1305.15268,1787.36047363281
332,1305.43856,1947.00988769531
333,1305.65802,1844.26416015625
334,1306.14456,2053.76025390625
335,1306.35375,1835.65454101563
336,1306.52870,1496.04528808594
337,1306.68012,2107.48071289063
338,1307.20790,2594.12353515625
339,1307.47951,1784.14611816406
340,1307.63182,1597.07885742188
341,1308.03381,2520.56469726563
342,1308.14409,1749.07312011719
343,1308.26240,1265.03125
344,1308.32245,1359.59533691406
345,1308.44872,1222.46948242188
346,1308.77073,1653.21166992188
347,1308.99794,1573.29113769531
348,1309.15838,1845.2109375
349,1309.24223,1332.13061523438
350,1309.37008,1201.5556640625
351,1309.52386,1183.21313476563
352,1309.98893,1660.56213378906
353,1310.34375,1917.38891601563
354,1310.79342,1163.89306640625
355,1310.95580,1808.57556152344
356,1311.16905,1463.11291503906
357,1311.30361,1135.69812011719
358,1311.40205,1262.35852050781
359,1311.47068,1199.01684570313
360,1311.67340,1934.96484375
361,1311.92149,2163.14526367188
362,1312.00328,1398.84484863281
363,1312.08884,1219.07763671875
364,1312.31603,1174.60559082031
365,1312.49644,1193.12805175781
366,1312.61833,1357.26318359375
367,1312.89605,1493.44445800781
368,1313.13881,1681.18151855469
369,1313.32408,1602.97631835938
370,1313.50575,1617.03295898438
371,1313.59233,1177.20068359375
372,1313.83369,1590.17028808594
373,1314.00596,1983.79614257813
374,1314.20851,1337.22131347656
375,1314.36591,1413.05078125
376,1314.94487,2370.58203125
377,1315.34484,1284.86791992188
378,1315.48773,1435.765625
379,1315.74913,2069.04150390625
380,1315.98065,1650.34716796875
381,1316.11665,1809.08508300781
382,1316.24153,2293.20068359375
383,1316.35748,2167.85546875
384,1316.59203,1898.2734375
385,1316.69786,1372.01318359375
386,1316.81691,1457.52087402344
387,1317.07015,1678.33459472656
388,1317.51201,1207.05419921875
389,1317.68742,2206.97583007813
390,1317.81443,2216.8525390625
391,1317.87936,1443.78515625
392,1318.24238,1217.201171875
393,1318.49460,2691.89819335938
394,1318.64400,2147.533203125
395,1318.85926,2288.06567382813
396,1319.40095,1972.99682617188
397,1319.58184,1094.34997558594
398,1319.85807,2178.34912109375
399,1320.08385,1318.53784179688
400,1320.22897,1136.841796875
401,1320.53087,1309.068359375
402,1320.61267,1330.56481933594
403,1320.84245,1537.17639160156
404,1321.21298,1584.33337402344
405,1322.02414,1816.20971679688
406,1322.23302,1410.72338867188
407,1322.74249,1338.9951171875
408,1323.05537,1436.56848144531
409,1323.15368,1825.61547851563
410,1323.35914,1858.03686523438
411,1323.56817,2144.23315429688
412,1323.95560,2340.64819335938
413,1324.09029,1396.10778808594
414,1324.20353,2208.47729492188
415,1324.34062,1381.62353515625
416,1324.49565,1622.97045898438
417,1324.63788,1850.0205078125
418,1324.76974,2249.31298828125
419,1324.97873,3080.521484375
420,1325.31093,1718.39123535156
421,1325.49978,1137.44860839844
422,1325.85196,1926.83752441406
423,1326.22624,1999.45983886719
424,1326.49491,1904.46228027344
425,1326.57772,1982.17395019531
426,1326.67106,1803.83764648438
427,1326.74970,1442.92626953125
428,1327.20873,1871.078125
429,1327.46114,1722.9375
430,1327.66475,2377.64038085938
431,1327.89146,1447.60461425781
432,1328.01161,2023.77722167969
433,1328.14879,2263.96166992188
434,1328.21586,1697.17358398438
435,1328.36519,2094.28442382813
436,1328.83870,1904.11352539063
437,1328.96985,1650.013671875
438,1329.02312,1595.02514648438
439,1329.18798,2051.41870117188
440,1329.27415,1779.03833007813
441,1329.37697,1937.73962402344
442,1329.68944,2252.04956054688
443,1329.98221,2040.74560546875
444,1330.22483,2016
445,1330.36965,1514.94641113281
446,1330.48215,1412.31640625
447,1330.73701,2690.14892578125
