#"+ Scan (rt: 15.421 min) nostir_75um_sp-r003.d "
#Point,X(Thompsons),Y(Counts)
179,643.20692,395.149871826172
180,643.32997,853.224975585938
181,643.63179,458.356018066406
182,643.72443,704.33740234375
183,643.85018,420.882873535156
184,643.96316,543.890747070313
185,644.23254,627.039489746094
186,644.32562,1137.42370605469
187,644.99185,641.234558105469
188,645.23799,556.228759765625
189,645.31427,674.25
190,645.37916,365.546722412109
191,645.49584,822.163269042969
192,645.57744,657.695678710938
193,645.72989,445.160705566406
194,645.81364,667.625
195,645.88301,406.146820068359
196,645.97830,621.076171875
197,646.03577,487.353759765625
198,646.29557,717.128540039063
199,646.42544,1145.11572265625
200,646.46011,837.000610351563
201,646.54795,866.667175292969
202,646.81533,517.002563476563
203,647.07544,388.962219238281
204,647.26715,516.004638671875
205,647.33705,623.077575683594
206,647.82162,603.617370605469
207,648.29864,674.090881347656
208,648.44160,576.877197265625
209,648.50436,628.358215332031
210,648.56733,708.200744628906
211,648.63404,834.838562011719
212,649.06155,552.059326171875
213,649.14886,603.805297851563
214,649.31452,1082.10266113281
215,649.40667,382.329711914063
216,649.57414,855.685974121094
217,649.64646,458.017852783203
218,649.71662,737.163024902344
219,649.82515,481.043090820313
220,649.97886,760.414123535156
221,650.13429,1247.89440917969
222,650.30999,1044.0869140625
223,650.39954,510.837127685547
224,650.46386,879.802368164063
225,650.57153,642.265380859375
226,650.68383,496.484069824219
227,650.84138,1144.28051757813
228,650.93976,1009.08001708984
229,651.15029,582.570251464844
230,651.24281,983.274108886719
231,651.32400,1177.37219238281
232,651.57806,1080.11157226563
233,651.65314,940.011901855469
234,651.83472,978.5234375
235,651.91338,502.25
236,652.02833,820.00439453125
237,652.13181,1360.66320800781
238,652.31068,1500.52783203125
239,652.44597,1095.74108886719
240,652.47861,760.366760253906
241,652.93452,13163.013671875
242,653.11511,6263.74365234375
243,653.21861,2602.8720703125
244,653.30648,1665.74523925781
245,653.42198,1266.51025390625
246,653.48546,972.320068359375
247,653.55668,1913.31689453125
248,653.67776,702.692138671875
249,653.74736,655.805053710938
250,653.82539,474
251,653.98516,1136.236328125
252,654.11097,1087.67565917969
253,654.17174,1362.11254882813
254,654.26574,1088.56213378906
255,654.34235,1162.021484375
256,654.40755,932.824096679688
257,654.45604,702.917358398438
258,654.60499,942.645568847656
259,654.74066,513.60498046875
260,654.82545,1035.36181640625
261,654.97783,376.371948242188
262,655.21163,711.678771972656
263,655.32539,920.012634277344
264,655.38605,404.901306152344
265,655.47794,1028.53637695313
266,655.57571,1202.10754394531
267,655.65068,945.573547363281
268,655.84703,1601.48791503906
269,656.03951,1228.36511230469
270,656.12584,519.976623535156
271,656.22755,429.029022216797
272,656.33444,1016
273,656.52324,987.487915039063
274,656.65043,1320.61730957031
275,656.82823,1698.375
276,656.95304,844.074645996094
277,657.11371,424.011108398438
278,657.18847,447.444854736328
279,657.32826,1458.96337890625
280,657.51188,601.342590332031
