#"+ BPC Scan nostir_50um_sp-r017.d "
#Point,X(Minutes),Y(Counts)
0,0.067,429
1,0.083,636
2,0.100,510
3,0.117,435
4,0.133,841
5,0.150,698
6,0.167,510
7,0.183,632
8,0.200,385
9,0.217,510
10,0.233,455
11,0.250,352
12,0.266,743
13,0.283,431
14,0.300,575
15,0.316,513
16,0.333,510
17,0.350,619
18,0.366,635
19,0.383,2082
20,0.400,1183
21,0.416,1287
22,0.433,624
23,0.449,600
24,0.466,565
25,0.483,597
26,0.499,654
27,0.516,487
28,0.533,481
29,0.549,555
30,0.566,452
31,0.582,462
32,0.599,445
33,0.616,424
34,0.632,423
35,0.649,471
36,0.666,416
37,0.682,643
38,0.699,833
39,0.716,510
40,0.732,495
41,0.749,496
42,0.765,510
43,0.782,511
44,0.799,510
45,0.815,510
46,0.832,368
47,0.849,510
48,0.865,510
49,0.882,370
50,0.899,489
51,0.915,388
52,0.932,504
53,0.948,502
54,0.965,439
55,0.982,463
56,0.998,510
57,1.015,423
58,1.032,348
59,1.048,420
60,1.065,505
61,1.081,501
62,1.098,446
63,1.115,510
64,1.131,397
65,1.148,437
66,1.165,510
67,1.181,523
68,1.198,496
69,1.215,510
70,1.231,640
71,1.248,510
72,1.264,510
73,1.281,505
74,1.298,510
75,1.314,510
76,1.331,582
77,1.348,787
78,1.364,451
79,1.381,510
80,1.398,608
81,1.414,472
82,1.431,510
83,1.447,421
84,1.464,510
85,1.481,417
86,1.497,560
87,1.514,458
88,1.531,648
89,1.547,464
90,1.564,630
91,1.580,615
92,1.597,649
93,1.614,440
94,1.630,392
95,1.647,510
96,1.664,510
97,1.680,577
98,1.697,483
99,1.714,510
100,1.730,510
101,1.747,638
102,1.763,553
103,1.780,510
104,1.797,510
105,1.813,551
106,1.830,462
107,1.847,465
108,1.863,366
109,1.880,554
110,1.897,728
111,1.913,503
112,1.930,508
113,1.946,422
114,1.963,529
115,1.980,387
116,1.996,349
117,2.013,621
118,2.030,478
119,2.046,523
120,2.063,420
121,2.079,529
122,2.096,510
123,2.113,430
124,2.129,509
125,2.146,355
126,2.163,510
127,2.179,449
128,2.196,411
129,2.213,510
130,2.229,510
131,2.246,477
132,2.262,646
133,2.279,412
134,2.296,505
135,2.312,422
136,2.329,566
137,2.346,510
138,2.362,500
139,2.379,510
140,2.396,498
141,2.412,510
142,2.429,510
143,2.445,536
144,2.462,410
145,2.479,483
146,2.495,631
147,2.512,515
148,2.529,520
149,2.545,494
150,2.562,579
151,2.578,510
152,2.595,510
153,2.612,915
154,2.628,510
155,2.645,350
156,2.662,508
157,2.678,475
158,2.695,814
159,2.712,510
160,2.728,519
161,2.745,808
162,2.761,820
163,2.778,568
164,2.795,709
165,2.811,695
166,2.828,536
167,2.845,993
168,2.861,1370
169,2.878,1436
170,2.895,1324
171,2.911,629
172,2.928,513
173,2.944,777
174,2.961,1302
175,2.978,1168
176,2.994,1266
177,3.011,1128
178,3.028,468
179,3.044,778
180,3.061,1071
181,3.077,1564
182,3.094,1019
183,3.111,715
184,3.127,768
185,3.144,522
186,3.161,619
187,3.177,561
188,3.194,789
189,3.211,1074
190,3.227,944
191,3.244,692
192,3.260,987
193,3.277,728
194,3.294,825
195,3.310,510
196,3.327,523
197,3.344,571
198,3.360,850
199,3.377,777
200,3.394,420
201,3.410,359
202,3.427,482
203,3.443,841
204,3.460,997
205,3.477,698
206,3.493,830
207,3.510,490
208,3.527,560
209,3.543,619
210,3.560,967
211,3.576,1103
212,3.593,1730
213,3.610,1984
214,3.626,983
215,3.643,1007
216,3.660,931
217,3.676,686
218,3.693,1021
219,3.710,594
220,3.726,625
221,3.743,623
222,3.759,656
223,3.776,755
224,3.793,510
225,3.809,688
226,3.826,798
227,3.843,1249
228,3.859,1094
229,3.876,646
230,3.893,515
231,3.909,624
232,3.926,504
233,3.942,744
234,3.959,394
235,3.976,475
236,3.992,510
237,4.009,508
238,4.026,727
239,4.042,510
240,4.059,661
241,4.075,490
242,4.092,612
243,4.109,516
244,4.125,535
245,4.142,471
246,4.159,510
247,4.175,456
248,4.192,445
249,4.209,432
250,4.225,694
251,4.242,484
252,4.258,548
253,4.275,599
254,4.292,487
255,4.308,510
256,4.325,552
257,4.342,530
258,4.358,570
259,4.375,661
260,4.392,510
261,4.408,620
262,4.425,671
263,4.441,580
264,4.458,706
265,4.475,532
266,4.491,514
267,4.508,545
268,4.525,671
269,4.541,516
270,4.558,649
271,4.574,463
272,4.591,597
273,4.608,754
274,4.624,558
275,4.641,436
276,4.658,550
277,4.674,634
278,4.691,493
279,4.708,774
280,4.724,510
281,4.741,510
282,4.757,703
283,4.774,510
284,4.791,752
285,4.807,471
286,4.824,438
287,4.841,550
288,4.857,522
289,4.874,566
290,4.891,630
291,4.907,557
292,4.924,661
293,4.940,499
294,4.957,458
295,4.974,532
296,4.990,565
297,5.007,583
298,5.024,571
299,5.040,600
300,5.057,532
301,5.073,497
302,5.090,634
303,5.107,630
304,5.123,618
305,5.140,510
306,5.157,596
307,5.173,592
308,5.190,512
309,5.207,457
310,5.223,510
311,5.240,510
312,5.256,510
313,5.273,510
314,5.290,535
315,5.306,572
316,5.323,481
317,5.340,416
318,5.356,599
319,5.373,621
320,5.390,524
321,5.406,510
322,5.423,510
323,5.439,510
324,5.456,442
325,5.473,529
326,5.489,399
327,5.506,510
328,5.523,537
329,5.539,451
330,5.556,498
331,5.572,533
332,5.589,566
333,5.606,562
334,5.622,813
335,5.639,795
336,5.656,510
337,5.672,406
338,5.689,568
339,5.706,598
340,5.722,680
341,5.739,992
342,5.755,972
343,5.772,400
344,5.789,514
345,5.805,533
346,5.822,510
