#"+ BPC Scan nostir_50um_sp-r014.d "
#Point,X(Minutes),Y(Counts)
0,0.060,891
1,0.077,543
2,0.093,612
3,0.110,408
4,0.126,677
5,0.143,623
6,0.160,746
7,0.176,1054
8,0.193,582
9,0.210,698
10,0.226,585
11,0.243,637
12,0.259,478
13,0.276,538
14,0.293,701
15,0.309,482
16,0.326,532
17,0.343,609
18,0.359,829
19,0.376,566
20,0.393,891
21,0.409,666
22,0.426,438
23,0.442,607
24,0.459,695
25,0.476,653
26,0.492,595
27,0.509,607
28,0.526,720
29,0.542,784
30,0.559,521
31,0.576,529
32,0.592,521
33,0.609,399
34,0.625,870
35,0.642,596
36,0.659,580
37,0.675,1149
38,0.692,510
39,0.709,712
40,0.725,556
41,0.742,710
42,0.758,740
43,0.775,506
44,0.792,696
45,0.808,683
46,0.825,578
47,0.842,517
48,0.858,503
49,0.875,828
50,0.892,619
51,0.908,602
52,0.925,528
53,0.941,400
54,0.958,654
55,0.975,397
56,0.991,409
57,1.008,444
58,1.025,572
59,1.041,454
60,1.058,502
61,1.075,532
62,1.091,367
63,1.108,402
64,1.124,466
65,1.141,645
66,1.158,616
67,1.174,529
68,1.191,501
69,1.208,510
70,1.224,510
71,1.241,455
72,1.257,510
73,1.274,446
74,1.291,530
75,1.307,716
76,1.324,680
77,1.341,456
78,1.357,611
79,1.374,510
80,1.391,510
81,1.407,531
82,1.424,510
83,1.440,448
84,1.457,546
85,1.474,586
86,1.490,454
87,1.507,534
88,1.524,430
89,1.540,497
90,1.557,501
91,1.574,510
92,1.590,453
93,1.607,498
94,1.623,371
95,1.640,365
96,1.657,609
97,1.673,561
98,1.690,511
99,1.707,642
100,1.723,491
101,1.740,459
102,1.756,550
103,1.773,469
104,1.790,407
105,1.806,510
106,1.823,376
107,1.840,515
108,1.856,510
109,1.873,510
110,1.890,473
111,1.906,510
112,1.923,617
113,1.939,763
114,1.956,467
115,1.973,496
116,1.989,473
117,2.006,510
118,2.023,510
119,2.039,510
120,2.056,424
121,2.073,431
122,2.089,479
123,2.106,500
124,2.122,484
125,2.139,462
126,2.156,702
127,2.172,606
