#"+ BPC Scan nostir_50um_sp-r007.d "
#Point,X(Minutes),Y(Counts)
0,0.054,824
1,0.071,510
2,0.087,877
3,0.104,869
4,0.120,626
5,0.137,750
6,0.154,808
7,0.170,606
8,0.187,931
9,0.204,723
10,0.220,556
11,0.237,852
12,0.254,483
13,0.270,510
14,0.287,646
15,0.303,762
16,0.320,825
17,0.337,510
18,0.353,629
19,0.370,765
20,0.387,645
21,0.403,637
22,0.420,586
23,0.436,720
24,0.453,537
25,0.470,544
26,0.486,908
27,0.503,676
28,0.520,510
29,0.536,730
30,0.553,865
31,0.570,749
32,0.586,917
33,0.603,716
34,0.619,823
35,0.636,674
36,0.653,746
37,0.669,560
38,0.686,537
39,0.703,762
40,0.719,591
41,0.736,666
42,0.753,798
43,0.769,846
44,0.786,710
45,0.802,883
46,0.819,647
47,0.836,781
48,0.852,1288
49,0.869,894
50,0.886,591
51,0.902,598
52,0.919,664
53,0.935,694
54,0.952,649
55,0.969,783
56,0.985,502
57,1.002,745
58,1.019,458
59,1.035,543
60,1.052,654
61,1.069,752
62,1.085,979
63,1.102,734
64,1.118,516
65,1.135,707
66,1.152,991
67,1.168,518
68,1.185,750
69,1.202,627
70,1.218,1009
71,1.235,737
72,1.252,553
73,1.268,1100
74,1.285,633
75,1.301,536
76,1.318,763
77,1.335,849
78,1.351,637
79,1.368,755
80,1.385,667
81,1.401,724
82,1.418,786
83,1.434,725
84,1.451,757
85,1.468,765
86,1.484,934
87,1.501,783
88,1.518,1084
89,1.534,478
90,1.551,516
91,1.568,713
92,1.584,591
93,1.601,501
94,1.617,783
95,1.634,644
96,1.651,839
97,1.667,656
98,1.684,747
99,1.701,729
100,1.717,859
101,1.734,664
102,1.751,936
103,1.767,679
104,1.784,841
105,1.800,647
106,1.817,662
107,1.834,521
108,1.850,895
109,1.867,477
110,1.884,595
111,1.900,541
112,1.917,995
113,1.933,550
114,1.950,916
115,1.967,687
116,1.983,587
117,2.000,977
118,2.017,520
119,2.033,584
120,2.050,640
121,2.067,914
122,2.083,835
123,2.100,474
124,2.116,471
125,2.133,741
126,2.150,522
127,2.166,784
128,2.183,669
129,2.200,679
130,2.216,1018
131,2.233,711
132,2.250,520
133,2.266,887
134,2.283,713
135,2.299,557
136,2.316,510
137,2.333,560
138,2.349,797
139,2.366,641
140,2.383,907
141,2.399,728
142,2.416,694
143,2.432,649
144,2.449,896
145,2.466,578
146,2.482,432
147,2.499,539
148,2.516,752
149,2.532,821
150,2.549,607
151,2.566,736
152,2.582,536
153,2.599,756
154,2.615,527
155,2.632,798
156,2.649,572
157,2.665,471
158,2.682,523
159,2.699,580
160,2.715,510
161,2.732,759
162,2.749,959
163,2.765,661
164,2.782,644
165,2.798,539
166,2.815,781
167,2.832,1056
168,2.848,684
169,2.865,807
170,2.882,567
171,2.898,640
172,2.915,677
173,2.931,747
174,2.948,617
175,2.965,746
176,2.981,608
177,2.998,753
178,3.015,599
179,3.031,457
180,3.048,672
181,3.065,711
182,3.081,510
183,3.098,750
184,3.114,800
185,3.131,785
186,3.148,642
187,3.164,573
188,3.181,630
189,3.198,510
190,3.214,543
191,3.231,749
192,3.248,1046
193,3.264,749
194,3.281,524
195,3.297,530
196,3.314,621
197,3.331,753
198,3.347,733
199,3.364,615
200,3.381,628
201,3.397,730
202,3.414,674
203,3.430,901
204,3.447,563
205,3.464,909
206,3.480,524
207,3.497,641
208,3.514,649
209,3.530,827
210,3.547,596
211,3.564,534
212,3.580,740
213,3.597,705
214,3.613,611
215,3.630,528
216,3.647,1168
217,3.663,667
218,3.680,475
219,3.697,627
220,3.713,982
221,3.730,759
222,3.747,665
223,3.763,495
224,3.780,684
225,3.796,381
226,3.813,749
227,3.830,679
228,3.846,654
229,3.863,825
230,3.880,761
231,3.896,566
232,3.913,561
233,3.929,542
234,3.946,771
235,3.963,1009
236,3.979,459
237,3.996,663
238,4.013,590
239,4.029,488
240,4.046,654
241,4.063,726
242,4.079,584
243,4.096,661
244,4.112,559
245,4.129,926
246,4.146,751
247,4.162,727
248,4.179,768
249,4.196,686
250,4.212,479
251,4.229,602
252,4.246,706
253,4.262,603
254,4.279,779
255,4.295,758
256,4.312,579
257,4.329,599
258,4.345,582
259,4.362,575
260,4.379,689
261,4.395,510
262,4.412,881
263,4.428,732
264,4.445,589
265,4.462,579
266,4.478,999
267,4.495,624
268,4.512,678
269,4.528,663
270,4.545,561
271,4.562,510
272,4.578,515
273,4.595,710
274,4.611,905
275,4.628,599
276,4.645,835
277,4.661,995
278,4.678,744
279,4.695,555
280,4.711,614
281,4.728,1155
282,4.745,444
283,4.761,510
284,4.778,446
285,4.794,827
286,4.811,510
287,4.828,566
288,4.844,563
289,4.861,508
290,4.878,592
291,4.894,523
292,4.911,588
293,4.927,556
294,4.944,807
295,4.961,609
296,4.977,539
297,4.994,501
298,5.011,528
299,5.027,510
300,5.044,551
301,5.061,549
302,5.077,577
303,5.094,667
304,5.110,674
305,5.127,561
306,5.144,605
307,5.160,1005
308,5.177,489
309,5.194,871
310,5.210,742
311,5.227,687
312,5.244,522
313,5.260,571
314,5.277,637
315,5.293,1007
316,5.310,673
317,5.327,830
318,5.343,652
319,5.360,746
320,5.377,762
321,5.393,768
322,5.410,510
323,5.426,528
324,5.443,658
325,5.460,667
326,5.476,766
327,5.493,572
328,5.510,701
329,5.526,1106
330,5.543,999
331,5.560,766
332,5.576,1104
333,5.593,523
334,5.609,694
335,5.626,616
336,5.643,510
337,5.659,525
338,5.676,750
339,5.693,988
340,5.709,642
341,5.726,744
342,5.743,654
343,5.759,571
344,5.776,649
345,5.792,510
346,5.809,512
347,5.826,694
348,5.842,831
349,5.859,625
350,5.876,562
351,5.892,508
352,5.909,544
353,5.925,961
354,5.942,596
355,5.959,495
356,5.975,674
357,5.992,705
358,6.009,518
359,6.025,530
360,6.042,547
361,6.059,617
362,6.075,550
363,6.092,838
364,6.108,686
365,6.125,599
366,6.142,548
367,6.158,834
368,6.175,773
369,6.192,510
370,6.208,721
371,6.225,602
372,6.242,583
373,6.258,664
374,6.275,729
375,6.291,702
376,6.308,574
377,6.325,841
378,6.341,1101
379,6.358,512
380,6.375,540
381,6.391,631
382,6.408,947
383,6.424,653
384,6.441,704
385,6.458,539
386,6.474,515
387,6.491,747
388,6.508,528
389,6.524,623
390,6.541,1079
391,6.558,626
392,6.574,557
393,6.591,841
394,6.607,510
395,6.624,664
396,6.641,772
397,6.657,498
398,6.674,783
399,6.691,563
400,6.707,518
401,6.724,754
402,6.741,534
403,6.757,716
404,6.774,586
405,6.790,720
406,6.807,688
407,6.824,688
408,6.840,736
409,6.857,717
410,6.874,512
411,6.890,595
412,6.907,465
413,6.923,645
414,6.940,639
415,6.957,510
416,6.973,1051
417,6.990,496
418,7.007,552
419,7.023,693
420,7.040,633
421,7.057,629
422,7.073,850
423,7.090,694
424,7.106,674
425,7.123,711
426,7.140,677
427,7.156,562
428,7.173,712
429,7.190,565
430,7.206,510
431,7.223,835
432,7.240,673
433,7.256,771
434,7.273,1135
435,7.289,702
436,7.306,896
437,7.323,825
438,7.339,607
439,7.356,735
440,7.373,516
441,7.389,678
442,7.406,687
443,7.422,547
444,7.439,603
445,7.456,510
446,7.472,728
447,7.489,671
448,7.506,633
449,7.522,655
450,7.539,595
451,7.556,623
452,7.572,604
453,7.589,727
454,7.605,740
455,7.622,772
456,7.639,863
457,7.655,563
458,7.672,733
459,7.689,606
460,7.705,766
461,7.722,557
462,7.739,671
463,7.755,738
464,7.772,584
465,7.788,686
466,7.805,552
467,7.822,482
468,7.838,676
469,7.855,833
470,7.872,512
471,7.888,756
472,7.905,465
473,7.921,853
474,7.938,700
475,7.955,561
476,7.971,870
477,7.988,864
478,8.005,514
479,8.021,668
480,8.038,584
481,8.055,563
482,8.071,769
483,8.088,748
484,8.104,868
485,8.121,755
486,8.138,684
487,8.154,560
488,8.171,647
489,8.188,530
490,8.204,510
491,8.221,615
492,8.238,638
493,8.254,554
494,8.271,516
495,8.287,516
496,8.304,583
497,8.321,653
498,8.337,614
499,8.354,764
500,8.371,510
501,8.387,545
502,8.404,629
503,8.420,657
504,8.437,679
505,8.454,568
506,8.470,723
507,8.487,656
508,8.504,974
509,8.520,555
510,8.537,570
511,8.554,927
512,8.570,574
513,8.587,718
514,8.603,620
515,8.620,510
516,8.637,634
517,8.653,637
518,8.670,498
519,8.687,585
520,8.703,891
521,8.720,753
522,8.737,719
523,8.753,633
524,8.770,578
525,8.786,565
526,8.803,753
527,8.820,477
528,8.836,603
529,8.853,775
530,8.870,524
531,8.886,601
532,8.903,577
533,8.919,655
534,8.936,607
535,8.953,465
536,8.969,510
537,8.986,590
538,9.003,668
539,9.019,695
540,9.036,528
541,9.053,1071
542,9.069,718
543,9.086,629
544,9.102,502
545,9.119,556
546,9.136,811
547,9.152,542
548,9.169,772
549,9.186,530
550,9.202,529
551,9.219,1028
552,9.236,908
553,9.252,601
554,9.269,703
555,9.285,660
556,9.302,704
557,9.319,716
558,9.335,579
559,9.352,621
560,9.369,572
561,9.385,557
562,9.402,615
563,9.418,604
564,9.435,618
565,9.452,510
566,9.468,603
567,9.485,556
568,9.502,945
569,9.518,617
570,9.535,598
571,9.552,628
572,9.568,810
573,9.585,770
574,9.601,595
575,9.618,799
576,9.635,620
577,9.651,831
578,9.668,481
579,9.685,667
580,9.701,627
581,9.718,882
582,9.735,522
583,9.751,592
584,9.768,561
585,9.784,627
586,9.801,847
587,9.818,666
588,9.834,481
589,9.851,486
590,9.868,827
591,9.884,613
592,9.901,590
593,9.917,636
594,9.934,534
595,9.951,579
596,9.967,524
597,9.984,632
598,10.001,876
599,10.017,807
600,10.034,910
601,10.051,579
602,10.067,634
603,10.084,533
604,10.100,689
605,10.117,1078
606,10.134,801
607,10.150,769
608,10.167,710
609,10.184,553
610,10.200,637
611,10.217,513
612,10.234,866
613,10.250,579
614,10.267,746
615,10.283,585
616,10.300,525
617,10.317,567
618,10.333,802
