#"+ BPC Scan nostir_50um_sp-r013.d "
#Point,X(Minutes),Y(Counts)
0,0.058,764
1,0.074,510
2,0.091,510
3,0.108,618
4,0.124,538
5,0.141,520
6,0.158,681
7,0.174,532
8,0.191,498
9,0.208,429
10,0.224,415
11,0.241,510
12,0.257,530
13,0.274,381
14,0.291,466
15,0.307,650
16,0.324,452
17,0.341,510
18,0.357,452
19,0.374,419
20,0.390,630
21,0.407,520
22,0.424,428
23,0.440,474
24,0.457,661
25,0.474,681
26,0.490,515
27,0.507,640
28,0.524,430
29,0.540,473
30,0.557,497
31,0.573,536
32,0.590,764
33,0.607,484
34,0.623,653
35,0.640,513
36,0.657,510
37,0.673,510
38,0.690,487
39,0.707,408
40,0.723,441
41,0.740,784
42,0.756,510
43,0.773,510
44,0.790,510
45,0.806,510
46,0.823,535
47,0.840,510
48,0.856,570
49,0.873,744
50,0.889,579
51,0.906,510
52,0.923,631
53,0.939,797
54,0.956,511
55,0.973,611
56,0.989,687
57,1.006,484
58,1.023,755
59,1.039,849
60,1.056,733
61,1.072,510
62,1.089,405
63,1.106,510
64,1.122,632
65,1.139,531
66,1.156,510
67,1.172,462
68,1.189,595
69,1.206,465
70,1.222,492
71,1.239,496
72,1.255,412
73,1.272,510
74,1.289,593
75,1.305,516
76,1.322,591
77,1.339,632
78,1.355,516
79,1.372,566
80,1.388,428
81,1.405,484
82,1.422,596
83,1.438,487
84,1.455,599
85,1.472,456
86,1.488,561
87,1.505,385
88,1.522,510
89,1.538,587
90,1.555,705
91,1.571,407
92,1.588,510
93,1.605,510
94,1.621,490
95,1.638,483
96,1.655,489
97,1.671,510
98,1.688,616
99,1.705,558
100,1.721,583
101,1.738,418
102,1.754,360
103,1.771,456
104,1.788,614
105,1.804,535
106,1.821,601
107,1.838,465
108,1.854,468
109,1.871,528
110,1.887,431
111,1.904,510
112,1.921,491
113,1.937,770
114,1.954,519
115,1.971,510
116,1.987,499
117,2.004,420
118,2.021,481
119,2.037,474
120,2.054,390
121,2.070,711
122,2.087,510
123,2.104,586
124,2.120,461
125,2.137,551
126,2.154,524
127,2.170,498
128,2.187,641
129,2.204,756
130,2.220,510
131,2.237,437
132,2.253,435
133,2.270,510
134,2.287,510
135,2.303,526
136,2.320,612
137,2.337,482
138,2.353,526
139,2.370,883
140,2.386,539
141,2.403,851
142,2.420,407
143,2.436,497
144,2.453,631
145,2.470,531
146,2.486,564
147,2.503,526
148,2.520,421
149,2.536,434
150,2.553,435
151,2.569,510
152,2.586,508
153,2.603,502
154,2.619,575
155,2.636,463
156,2.653,678
157,2.669,734
158,2.686,507
159,2.703,520
160,2.719,773
161,2.736,610
162,2.752,699
163,2.769,482
164,2.786,743
165,2.802,644
166,2.819,1479
167,2.836,743
168,2.852,783
169,2.869,1006
170,2.885,817
171,2.902,590
172,2.919,682
173,2.935,1060
174,2.952,719
175,2.969,1020
176,2.985,510
177,3.002,1001
178,3.019,768
179,3.035,728
180,3.052,1417
181,3.068,840
182,3.085,1125
183,3.102,897
184,3.118,1088
185,3.135,969
186,3.152,1340
187,3.168,669
188,3.185,631
189,3.202,562
190,3.218,621
191,3.235,588
192,3.251,740
193,3.268,616
194,3.285,685
195,3.301,989
196,3.318,821
197,3.335,1081
198,3.351,901
199,3.368,742
200,3.384,510
201,3.401,430
202,3.418,774
203,3.434,609
204,3.451,408
205,3.468,622
206,3.484,660
207,3.501,886
208,3.518,655
209,3.534,436
210,3.551,584
211,3.567,746
212,3.584,640
213,3.601,679
214,3.617,533
215,3.634,494
216,3.651,938
217,3.667,498
218,3.684,511
219,3.701,510
220,3.717,534
221,3.734,532
222,3.750,524
223,3.767,512
224,3.784,507
225,3.800,559
226,3.817,721
227,3.834,447
228,3.850,899
229,3.867,557
230,3.883,484
231,3.900,481
232,3.917,693
233,3.933,513
234,3.950,622
235,3.967,408
236,3.983,653
237,4.000,455
238,4.017,462
239,4.033,510
240,4.050,518
241,4.066,722
242,4.083,355
243,4.100,502
244,4.116,471
245,4.133,516
246,4.150,652
247,4.166,444
248,4.183,560
249,4.200,510
250,4.216,468
251,4.233,510
252,4.249,651
253,4.266,804
254,4.283,553
255,4.299,525
256,4.316,510
257,4.333,794
258,4.349,527
259,4.366,754
260,4.382,510
261,4.399,591
262,4.416,884
263,4.432,594
264,4.449,502
265,4.466,462
266,4.482,488
267,4.499,563
268,4.516,510
269,4.532,381
270,4.549,437
271,4.565,554
272,4.582,510
273,4.599,510
274,4.615,571
275,4.632,510
276,4.649,576
277,4.665,527
278,4.682,510
279,4.699,754
280,4.715,472
281,4.732,650
282,4.748,677
283,4.765,510
284,4.782,597
285,4.798,754
286,4.815,514
287,4.832,715
288,4.848,414
289,4.865,455
290,4.881,658
291,4.898,428
292,4.915,510
293,4.931,582
294,4.948,927
295,4.965,530
296,4.981,579
297,4.998,571
298,5.015,504
299,5.031,517
300,5.048,520
301,5.064,626
302,5.081,694
303,5.098,651
304,5.114,510
305,5.131,512
306,5.148,510
307,5.164,739
308,5.181,465
309,5.198,569
310,5.214,433
311,5.231,506
312,5.247,631
313,5.264,850
314,5.281,510
315,5.297,512
316,5.314,510
317,5.331,602
318,5.347,609
319,5.364,510
320,5.381,510
321,5.397,510
322,5.414,384
323,5.430,383
324,5.447,516
325,5.464,525
326,5.480,429
327,5.497,510
328,5.514,511
329,5.530,504
330,5.547,506
331,5.563,491
332,5.580,584
333,5.597,510
334,5.613,541
335,5.630,539
336,5.647,397
337,5.663,510
338,5.680,451
339,5.697,442
340,5.713,540
341,5.730,610
342,5.746,453
343,5.763,577
344,5.780,571
345,5.796,539
346,5.813,510
347,5.830,792
348,5.846,699
349,5.863,511
350,5.880,483
351,5.896,444
352,5.913,510
353,5.929,480
354,5.946,736
355,5.963,402
356,5.979,514
357,5.996,510
358,6.013,649
359,6.029,510
360,6.046,493
361,6.062,575
362,6.079,528
363,6.096,664
364,6.112,514
365,6.129,510
366,6.146,510
367,6.162,449
368,6.179,510
369,6.196,450
370,6.212,562
371,6.229,522
372,6.245,533
373,6.262,592
374,6.279,510
375,6.295,518
376,6.312,510
377,6.329,510
378,6.345,542
379,6.362,510
380,6.379,475
381,6.395,377
382,6.412,510
383,6.428,588
384,6.445,510
385,6.462,656
386,6.478,456
387,6.495,546
388,6.512,646
389,6.528,510
390,6.545,551
391,6.561,491
392,6.578,907
393,6.595,560
394,6.611,494
395,6.628,524
396,6.645,514
397,6.661,510
398,6.678,666
399,6.695,734
400,6.711,512
401,6.728,487
402,6.744,452
403,6.761,520
404,6.778,537
405,6.794,573
406,6.811,510
407,6.828,439
408,6.844,513
409,6.861,587
410,6.878,510
411,6.894,510
412,6.911,503
413,6.927,483
