#"+ BPC Scan nostir_50um_sp-r004.d "
#Point,X(Minutes),Y(Counts)
0,0.064,901
1,0.081,1100
2,0.098,631
3,0.114,905
4,0.131,708
5,0.147,766
6,0.164,874
7,0.181,639
8,0.197,885
9,0.214,704
10,0.231,973
11,0.247,821
12,0.264,746
13,0.281,545
14,0.297,546
15,0.314,642
16,0.330,755
17,0.347,767
18,0.364,871
19,0.380,811
20,0.397,862
21,0.414,724
22,0.430,978
23,0.447,894
24,0.463,827
25,0.480,849
26,0.497,549
27,0.513,581
28,0.530,682
29,0.547,836
30,0.563,850
31,0.580,702
32,0.597,773
33,0.613,510
34,0.630,567
35,0.646,664
36,0.663,624
37,0.680,1004
38,0.696,597
39,0.713,839
40,0.730,519
41,0.746,845
42,0.763,911
43,0.780,826
44,0.796,722
45,0.813,828
46,0.829,668
47,0.846,831
48,0.863,1095
49,0.879,716
50,0.896,749
51,0.913,660
52,0.929,952
53,0.946,896
54,0.962,482
55,0.979,860
56,0.996,1046
57,1.012,870
58,1.029,903
59,1.046,911
60,1.062,694
61,1.079,1213
62,1.096,560
63,1.112,750
64,1.129,677
65,1.145,958
66,1.162,689
67,1.179,575
68,1.195,568
69,1.212,699
70,1.229,615
71,1.245,766
72,1.262,1070
73,1.279,781
74,1.295,627
75,1.312,1149
76,1.328,742
77,1.345,844
78,1.362,874
79,1.378,624
80,1.395,679
81,1.412,853
82,1.428,767
83,1.445,672
84,1.461,584
85,1.478,638
86,1.495,978
87,1.511,753
88,1.528,763
89,1.545,853
90,1.561,481
91,1.578,656
92,1.595,739
93,1.611,554
94,1.628,816
95,1.644,875
96,1.661,816
97,1.678,1228
98,1.694,799
99,1.711,636
100,1.728,678
101,1.744,596
102,1.761,607
103,1.778,686
104,1.794,547
105,1.811,975
106,1.827,847
107,1.844,796
108,1.861,669
109,1.877,675
110,1.894,839
111,1.911,1016
112,1.927,691
113,1.944,733
114,1.960,716
115,1.977,1025
116,1.994,828
117,2.010,616
118,2.027,600
119,2.044,729
120,2.060,973
121,2.077,792
122,2.094,1195
123,2.110,495
124,2.127,911
125,2.143,613
126,2.160,792
127,2.177,479
128,2.193,584
129,2.210,709
130,2.227,964
131,2.243,765
132,2.260,838
133,2.277,843
134,2.293,1089
135,2.310,864
136,2.326,912
137,2.343,795
138,2.360,1151
139,2.376,766
140,2.393,1045
141,2.410,900
142,2.426,743
143,2.443,1103
144,2.459,617
145,2.476,1073
146,2.493,530
147,2.509,979
148,2.526,803
149,2.543,997
150,2.559,1103
151,2.576,843
152,2.593,790
153,2.609,836
154,2.626,857
155,2.642,769
156,2.659,912
157,2.676,1196
158,2.692,755
159,2.709,727
160,2.726,513
161,2.742,636
162,2.759,977
163,2.776,788
164,2.792,709
165,2.809,778
166,2.825,594
167,2.842,974
168,2.859,854
169,2.875,771
170,2.892,882
171,2.909,679
172,2.925,921
173,2.942,733
174,2.959,791
175,2.975,583
176,2.992,669
177,3.008,969
178,3.025,822
179,3.042,650
180,3.058,938
181,3.075,729
182,3.092,576
183,3.108,774
184,3.125,1211
185,3.142,716
186,3.158,828
187,3.175,780
188,3.191,1155
189,3.208,629
190,3.225,669
191,3.241,831
192,3.258,670
193,3.275,658
194,3.291,638
195,3.308,840
196,3.324,892
197,3.341,686
198,3.358,933
199,3.374,755
200,3.391,666
201,3.408,903
202,3.424,889
203,3.441,658
204,3.458,720
205,3.474,524
206,3.491,887
207,3.507,589
208,3.524,621
209,3.541,829
210,3.557,728
211,3.574,651
212,3.591,582
213,3.607,1088
214,3.624,561
215,3.641,602
216,3.657,737
217,3.674,877
218,3.690,975
219,3.707,662
220,3.724,814
221,3.740,790
222,3.757,1096
223,3.774,571
224,3.790,797
225,3.807,938
226,3.823,871
227,3.840,880
228,3.857,929
229,3.873,797
230,3.890,999
231,3.907,1101
232,3.923,959
233,3.940,755
234,3.957,899
235,3.973,510
236,3.990,695
237,4.006,827
238,4.023,735
239,4.040,798
240,4.056,760
241,4.073,740
242,4.090,940
243,4.106,802
244,4.123,510
245,4.140,497
246,4.156,881
247,4.173,742
248,4.189,894
249,4.206,636
250,4.223,593
251,4.239,642
252,4.256,639
253,4.273,606
254,4.289,811
255,4.306,973
256,4.322,730
257,4.339,499
258,4.356,680
259,4.372,992
260,4.389,802
261,4.406,507
262,4.422,995
263,4.439,614
264,4.456,797
265,4.472,750
266,4.489,1075
267,4.505,965
268,4.522,1007
269,4.539,699
270,4.555,682
271,4.572,697
272,4.589,834
273,4.605,510
274,4.622,555
275,4.639,702
276,4.655,705
277,4.672,664
278,4.688,599
279,4.705,1026
280,4.722,611
281,4.738,744
282,4.755,714
283,4.772,761
284,4.788,631
285,4.805,644
286,4.821,619
287,4.838,851
288,4.855,689
289,4.871,777
290,4.888,670
291,4.905,661
292,4.921,632
293,4.938,691
294,4.955,576
295,4.971,603
296,4.988,986
297,5.004,790
298,5.021,868
299,5.038,799
300,5.054,846
301,5.071,802
302,5.088,799
303,5.104,818
304,5.121,582
305,5.138,681
306,5.154,783
307,5.171,720
308,5.187,681
309,5.204,1131
310,5.221,823
311,5.237,1106
312,5.254,795
313,5.271,765
314,5.287,774
315,5.304,604
316,5.320,638
317,5.337,830
318,5.354,773
319,5.370,708
320,5.387,767
321,5.404,583
322,5.420,739
323,5.437,1016
324,5.454,799
325,5.470,730
326,5.487,754
327,5.503,794
328,5.520,892
329,5.537,806
330,5.553,608
331,5.570,742
332,5.587,683
333,5.603,574
334,5.620,677
335,5.637,725
336,5.653,678
337,5.670,662
338,5.686,764
339,5.703,849
340,5.720,802
341,5.736,1238
342,5.753,548
343,5.770,851
344,5.786,602
345,5.803,872
346,5.819,805
347,5.836,610
348,5.853,958
349,5.869,836
350,5.886,932
351,5.903,524
352,5.919,1009
353,5.936,662
354,5.953,589
355,5.969,512
356,5.986,1135
357,6.002,896
358,6.019,915
359,6.036,922
360,6.052,618
361,6.069,940
362,6.086,667
363,6.102,727
364,6.119,957
365,6.136,820
366,6.152,958
367,6.169,913
368,6.185,677
369,6.202,735
370,6.219,1026
371,6.235,639
372,6.252,738
373,6.269,691
374,6.285,743
375,6.302,777
376,6.318,597
377,6.335,1084
378,6.352,803
379,6.368,838
380,6.385,932
381,6.402,971
382,6.418,735
383,6.435,889
384,6.452,611
385,6.468,548
386,6.485,533
387,6.501,608
388,6.518,802
389,6.535,627
390,6.551,783
391,6.568,1112
392,6.585,510
393,6.601,938
394,6.618,862
395,6.635,721
396,6.651,869
397,6.668,543
398,6.684,663
399,6.701,714
400,6.718,706
401,6.734,683
402,6.751,981
403,6.768,559
404,6.784,1027
405,6.801,803
406,6.817,669
407,6.834,872
408,6.851,660
409,6.867,1029
410,6.884,596
411,6.901,1263
412,6.917,958
413,6.934,714
414,6.951,877
415,6.967,706
416,6.984,608
417,7.000,713
418,7.017,598
419,7.034,904
420,7.050,749
421,7.067,953
422,7.084,682
423,7.100,728
424,7.117,514
425,7.133,651
426,7.150,975
427,7.167,765
428,7.183,792
429,7.200,817
430,7.217,829
431,7.233,594
432,7.250,565
433,7.267,1018
434,7.283,701
435,7.300,1116
436,7.316,562
437,7.333,822
438,7.350,504
439,7.366,575
440,7.383,682
441,7.400,804
442,7.416,510
443,7.433,527
444,7.450,932
445,7.466,1026
446,7.483,691
447,7.499,814
448,7.516,731
449,7.533,744
450,7.549,741
451,7.566,654
452,7.583,908
453,7.599,847
454,7.616,739
455,7.632,702
456,7.649,954
457,7.666,985
458,7.682,1005
459,7.699,839
460,7.716,628
461,7.732,641
462,7.749,843
463,7.766,627
464,7.782,554
465,7.799,686
466,7.815,769
467,7.832,542
468,7.849,612
469,7.865,736
470,7.882,835
471,7.899,581
472,7.915,822
473,7.932,544
474,7.949,710
475,7.965,862
476,7.982,965
477,7.998,1257
478,8.015,802
479,8.032,1007
480,8.048,663
481,8.065,698
482,8.082,679
483,8.098,731
484,8.115,857
485,8.131,586
486,8.148,669
487,8.165,730
488,8.181,609
489,8.198,1012
490,8.215,743
491,8.231,634
492,8.248,914
493,8.265,961
494,8.281,739
495,8.298,769
496,8.314,947
497,8.331,654
498,8.348,751
499,8.364,936
500,8.381,717
501,8.398,615
502,8.414,762
503,8.431,648
504,8.448,579
505,8.464,820
506,8.481,820
507,8.497,922
508,8.514,588
509,8.531,727
510,8.547,505
511,8.564,1215
512,8.581,555
513,8.597,909
514,8.614,793
515,8.630,620
516,8.647,810
517,8.664,802
518,8.680,600
519,8.697,913
520,8.714,1046
521,8.730,847
522,8.747,752
523,8.764,730
524,8.780,1015
525,8.797,648
526,8.813,848
527,8.830,597
528,8.847,914
529,8.863,811
530,8.880,773
531,8.897,1114
532,8.913,986
533,8.930,659
534,8.947,837
535,8.963,733
536,8.980,999
537,8.996,868
538,9.013,731
539,9.030,667
540,9.046,876
541,9.063,587
542,9.080,686
543,9.096,1105
544,9.113,942
545,9.129,884
546,9.146,612
547,9.163,869
548,9.179,1200
549,9.196,746
550,9.213,728
551,9.229,742
552,9.246,704
553,9.263,1085
554,9.279,762
555,9.296,873
556,9.312,1180
557,9.329,808
558,9.346,892
559,9.362,692
560,9.379,562
561,9.396,1200
562,9.412,723
563,9.429,623
564,9.446,500
565,9.462,883
566,9.479,914
567,9.495,540
568,9.512,719
569,9.529,1025
570,9.545,526
571,9.562,645
572,9.579,842
573,9.595,809
574,9.612,809
575,9.628,689
576,9.645,818
577,9.662,980
578,9.678,713
579,9.695,510
580,9.712,860
581,9.728,778
582,9.745,692
583,9.762,965
584,9.778,572
585,9.795,720
586,9.811,655
587,9.828,937
588,9.845,972
589,9.861,503
590,9.878,800
591,9.895,896
592,9.911,717
593,9.928,894
594,9.945,876
595,9.961,950
596,9.978,803
597,9.994,682
598,10.011,1026
599,10.028,912
600,10.044,673
601,10.061,960
602,10.078,713
603,10.094,735
604,10.111,1109
605,10.127,510
606,10.144,641
607,10.161,585
608,10.177,744
609,10.194,800
610,10.211,859
611,10.227,947
612,10.244,771
613,10.261,588
614,10.277,744
615,10.294,751
616,10.310,1440
617,10.327,635
618,10.344,872
619,10.360,682
620,10.377,966
621,10.394,528
622,10.410,868
623,10.427,817
624,10.444,1377
625,10.460,1415
626,10.477,967
627,10.493,579
628,10.510,762
629,10.527,802
630,10.543,991
631,10.560,1049
632,10.577,731
633,10.593,590
634,10.610,847
635,10.626,602
636,10.643,777
637,10.660,775
638,10.676,783
639,10.693,729
640,10.710,992
641,10.726,782
642,10.743,1031
643,10.760,603
644,10.776,584
645,10.793,1086
646,10.809,714
647,10.826,491
648,10.843,959
649,10.859,805
650,10.876,680
651,10.893,681
652,10.909,723
653,10.926,717
654,10.943,818
655,10.959,708
656,10.976,751
657,10.992,902
658,11.009,836
659,11.026,824
660,11.042,591
661,11.059,837
662,11.076,782
663,11.092,819
664,11.109,1020
665,11.125,1022
666,11.142,658
667,11.159,985
668,11.175,716
669,11.192,923
670,11.209,775
671,11.225,775
672,11.242,959
673,11.259,726
674,11.275,700
675,11.292,513
676,11.308,656
677,11.325,837
678,11.342,870
679,11.358,657
680,11.375,732
681,11.392,870
682,11.408,1094
683,11.425,609
684,11.442,739
685,11.458,998
686,11.475,686
687,11.491,631
688,11.508,781
689,11.525,522
690,11.541,797
691,11.558,504
692,11.575,705
693,11.591,1059
694,11.608,820
695,11.624,969
696,11.641,510
697,11.658,1024
698,11.674,761
699,11.691,636
700,11.708,510
701,11.724,790
702,11.741,788
703,11.758,657
704,11.774,778
705,11.791,534
706,11.807,691
707,11.824,768
708,11.841,605
709,11.857,478
710,11.874,510
711,11.891,802
712,11.907,765
713,11.924,572
714,11.941,919
715,11.957,575
716,11.974,868
717,11.990,510
718,12.007,711
719,12.024,627
720,12.040,556
721,12.057,653
722,12.074,791
723,12.090,956
724,12.107,1194
725,12.123,828
726,12.140,771
727,12.157,543
728,12.173,999
729,12.190,796
730,12.207,795
731,12.223,1031
732,12.240,722
733,12.257,989
734,12.273,821
735,12.290,853
736,12.306,689
737,12.323,841
738,12.340,510
739,12.356,859
740,12.373,813
741,12.390,796
742,12.406,692
743,12.423,707
744,12.440,610
745,12.456,971
746,12.473,1007
747,12.489,921
748,12.506,561
749,12.523,1261
750,12.539,579
751,12.556,744
752,12.573,568
753,12.589,817
754,12.606,847
755,12.622,678
756,12.639,843
757,12.656,826
758,12.672,583
759,12.689,880
760,12.706,576
761,12.722,932
762,12.739,545
763,12.756,685
764,12.772,653
765,12.789,797
766,12.806,812
767,12.822,946
768,12.839,541
769,12.855,633
770,12.872,668
771,12.889,894
772,12.905,705
773,12.922,716
774,12.939,617
775,12.955,723
776,12.972,930
777,12.988,1024
778,13.005,958
779,13.022,654
780,13.038,994
781,13.055,764
782,13.072,1267
783,13.088,811
784,13.105,719
785,13.122,801
786,13.138,627
787,13.155,894
788,13.171,704
789,13.188,647
790,13.205,751
791,13.221,735
792,13.238,784
793,13.255,784
794,13.271,740
795,13.288,760
796,13.305,603
797,13.321,680
798,13.338,1100
799,13.354,589
800,13.371,663
801,13.388,705
802,13.404,1108
803,13.421,946
804,13.438,737
805,13.454,882
806,13.471,1158
807,13.487,844
808,13.504,657
809,13.521,740
810,13.537,810
811,13.554,665
812,13.571,1200
813,13.587,1050
814,13.604,644
815,13.621,905
816,13.637,1035
817,13.654,913
818,13.670,717
819,13.687,880
820,13.704,854
821,13.720,794
822,13.737,510
823,13.754,659
824,13.770,602
825,13.787,612
826,13.804,961
827,13.820,720
828,13.837,749
829,13.853,560
830,13.870,843
831,13.887,774
832,13.903,738
833,13.920,613
834,13.937,711
835,13.953,793
836,13.970,915
837,13.986,883
838,14.003,845
839,14.020,824
840,14.036,1081
841,14.053,593
842,14.070,510
843,14.086,561
844,14.103,760
845,14.120,837
846,14.136,803
847,14.153,935
848,14.169,848
849,14.186,853
850,14.203,903
851,14.219,702
852,14.236,887
853,14.253,705
854,14.269,665
855,14.286,782
856,14.302,669
857,14.319,1122
858,14.336,957
859,14.352,759
860,14.369,763
861,14.386,747
862,14.402,1143
863,14.419,683
864,14.436,541
865,14.452,795
866,14.469,914
867,14.485,510
868,14.502,883
869,14.519,1300
870,14.535,1008
871,14.552,1392
872,14.569,692
873,14.585,718
874,14.602,868
875,14.619,1064
876,14.635,1143
877,14.652,1339
878,14.668,1404
879,14.685,1482
880,14.702,2268
881,14.718,1720
882,14.735,1342
883,14.752,1212
884,14.768,1924
885,14.785,1547
886,14.801,1159
887,14.818,1084
888,14.835,1175
889,14.851,920
890,14.868,883
891,14.885,1017
892,14.901,1107
893,14.918,1266
894,14.935,1505
895,14.951,2015
896,14.968,2425
897,14.984,3542
898,15.001,3966
899,15.018,4304
900,15.034,5533
901,15.051,5369
902,15.068,5830
903,15.084,5452
904,15.101,6089
905,15.118,6362
906,15.134,6397
907,15.151,6845
908,15.167,7082
909,15.184,7460
910,15.201,8000
911,15.217,7567
912,15.234,7812
913,15.251,9343
914,15.267,11570
915,15.284,8439
916,15.300,8786
917,15.317,8836
918,15.334,8965
919,15.350,8561
920,15.367,7891
921,15.384,8303
922,15.400,8315
923,15.417,8021
924,15.434,7828
925,15.450,7308
926,15.467,7323
927,15.483,6871
928,15.500,7274
929,15.517,9718
930,15.533,12265
931,15.550,22214
932,15.567,29367
933,15.583,41768
934,15.600,57174
935,15.617,74960
936,15.633,93706
937,15.650,108627
938,15.666,117415
939,15.683,127667
940,15.700,140998
941,15.716,152826
942,15.733,155971
943,15.750,173328
