#"+ BPC Scan nostir_50um_sp-r003.d "
#Point,X(Minutes),Y(Counts)
0,0.052,1095
1,0.069,1104
2,0.085,1252
3,0.102,1035
4,0.118,1035
5,0.135,1267
6,0.152,1122
7,0.168,1041
8,0.185,875
9,0.202,965
10,0.218,1000
11,0.235,1515
12,0.251,1148
13,0.268,1533
14,0.285,1322
15,0.301,1470
16,0.318,1264
17,0.335,932
18,0.351,1035
19,0.368,862
20,0.385,1420
21,0.401,1040
22,0.418,1389
23,0.434,1482
24,0.451,1287
25,0.468,1016
26,0.484,848
27,0.501,1597
28,0.518,1084
29,0.534,846
30,0.551,1621
31,0.568,1176
32,0.584,1227
33,0.601,1602
34,0.617,961
35,0.634,848
36,0.651,1140
37,0.667,1063
38,0.684,1453
39,0.701,1280
40,0.717,930
41,0.734,975
42,0.750,959
43,0.767,656
44,0.784,1692
45,0.800,1401
46,0.817,794
47,0.834,799
48,0.850,1267
49,0.867,1087
50,0.884,1223
51,0.900,1281
52,0.917,1276
53,0.933,827
54,0.950,1398
55,0.967,1448
56,0.983,872
57,1.000,1284
58,1.017,798
59,1.033,1038
60,1.050,909
61,1.067,1066
62,1.083,1697
63,1.100,1183
64,1.116,990
65,1.133,988
66,1.150,1051
67,1.166,1072
68,1.183,897
69,1.200,1061
70,1.216,1842
71,1.233,901
72,1.249,1032
73,1.266,1426
74,1.283,873
75,1.299,1461
76,1.316,1172
77,1.333,1441
78,1.349,1641
79,1.366,1114
80,1.383,1553
81,1.399,801
82,1.416,1787
83,1.432,1396
84,1.449,836
85,1.466,914
86,1.482,1161
87,1.499,1330
88,1.516,1491
89,1.532,910
90,1.549,978
91,1.566,1109
92,1.582,1341
93,1.599,1021
94,1.615,1373
95,1.632,1475
96,1.649,1217
97,1.665,1120
98,1.682,1088
99,1.699,897
100,1.715,1198
101,1.732,1049
102,1.748,936
103,1.765,1440
104,1.782,1221
105,1.798,1446
106,1.815,1744
107,1.832,1004
108,1.848,1381
109,1.865,1218
110,1.882,1021
111,1.898,1155
112,1.915,705
113,1.931,979
114,1.948,782
115,1.965,864
116,1.981,1184
117,1.998,854
118,2.015,1157
119,2.031,1259
120,2.048,1104
121,2.065,740
122,2.081,926
123,2.098,920
124,2.114,672
125,2.131,921
