#"+ BPC Scan nostir_50um_sp-r010.d "
#Point,X(Minutes),Y(Counts)
0,0.064,608
1,0.080,685
2,0.097,510
3,0.114,626
4,0.130,528
5,0.147,510
6,0.164,592
7,0.180,465
8,0.197,619
9,0.214,522
10,0.230,471
11,0.247,739
12,0.263,510
13,0.280,627
14,0.297,555
15,0.313,557
16,0.330,510
17,0.347,539
18,0.363,741
19,0.380,647
20,0.397,533
21,0.413,531
22,0.430,654
23,0.446,783
24,0.463,512
25,0.480,544
26,0.496,468
27,0.513,510
28,0.530,716
29,0.546,443
30,0.563,964
31,0.579,489
32,0.596,692
33,0.613,593
34,0.629,471
35,0.646,510
36,0.663,633
37,0.679,552
38,0.696,510
39,0.713,673
40,0.729,525
41,0.746,447
42,0.762,446
43,0.779,540
44,0.796,528
45,0.812,498
46,0.829,510
47,0.846,441
48,0.862,562
49,0.879,510
50,0.896,639
51,0.912,602
52,0.929,518
53,0.945,527
54,0.962,665
55,0.979,517
56,0.995,482
57,1.012,645
58,1.029,503
59,1.045,550
60,1.062,510
61,1.078,569
62,1.095,510
63,1.112,487
64,1.128,525
65,1.145,548
66,1.162,545
67,1.178,556
68,1.195,528
69,1.212,569
70,1.228,644
71,1.245,510
72,1.261,637
73,1.278,496
74,1.295,460
75,1.311,793
76,1.328,476
77,1.345,405
78,1.361,631
79,1.378,510
80,1.395,541
81,1.411,661
82,1.428,778
83,1.444,669
84,1.461,945
85,1.478,511
86,1.494,502
87,1.511,370
88,1.528,489
89,1.544,607
90,1.561,660
91,1.577,740
92,1.594,510
93,1.611,516
94,1.627,593
95,1.644,407
96,1.661,510
97,1.677,672
98,1.694,462
99,1.711,509
100,1.727,565
101,1.744,454
102,1.760,489
103,1.777,534
104,1.794,475
105,1.810,570
106,1.827,590
107,1.844,440
108,1.860,556
109,1.877,571
110,1.894,602
111,1.910,647
112,1.927,458
113,1.943,600
114,1.960,451
115,1.977,837
116,1.993,683
117,2.010,544
118,2.027,585
119,2.043,768
120,2.060,680
121,2.076,510
122,2.093,402
123,2.110,562
124,2.126,606
125,2.143,452
126,2.160,925
127,2.176,609
128,2.193,562
129,2.210,865
130,2.226,604
131,2.243,510
132,2.259,665
133,2.276,483
134,2.293,510
135,2.309,684
136,2.326,522
137,2.343,503
138,2.359,644
139,2.376,642
140,2.392,759
141,2.409,527
142,2.426,680
143,2.442,449
144,2.459,444
145,2.476,510
146,2.492,465
147,2.509,400
148,2.526,437
149,2.542,450
150,2.559,485
151,2.576,564
152,2.592,546
153,2.609,530
154,2.625,510
155,2.642,517
156,2.659,510
157,2.675,468
158,2.692,539
159,2.709,519
160,2.725,535
161,2.742,387
162,2.758,804
163,2.775,510
164,2.792,853
165,2.808,473
166,2.825,577
167,2.842,817
168,2.858,1025
169,2.875,663
170,2.892,498
171,2.908,813
172,2.925,427
173,2.941,534
174,2.958,807
175,2.975,682
176,2.991,522
177,3.008,647
178,3.025,788
179,3.041,474
180,3.058,805
181,3.075,574
182,3.091,753
183,3.108,1029
184,3.124,911
185,3.141,510
186,3.158,520
187,3.174,423
188,3.191,510
189,3.208,457
190,3.224,585
191,3.241,1149
192,3.257,727
