#"+ BPC Scan nostir_50um_sp-r018.d "
#Point,X(Minutes),Y(Counts)
0,0.055,832
1,0.072,310
2,0.089,611
3,0.105,626
4,0.122,432
5,0.139,696
6,0.155,502
7,0.172,435
8,0.188,520
9,0.205,447
10,0.222,407
11,0.238,510
12,0.255,510
13,0.272,459
14,0.288,401
15,0.305,430
16,0.321,438
17,0.338,598
18,0.355,608
19,0.371,617
20,0.388,428
21,0.405,369
22,0.421,549
23,0.438,523
24,0.455,529
25,0.471,478
26,0.488,418
27,0.504,510
28,0.521,493
29,0.538,1722
30,0.554,1724
31,0.571,522
32,0.588,454
33,0.604,463
34,0.621,366
35,0.638,400
36,0.654,479
37,0.671,636
38,0.687,368
39,0.704,498
40,0.721,615
41,0.737,500
42,0.754,510
43,0.771,493
44,0.787,485
45,0.804,489
46,0.820,376
47,0.837,383
48,0.854,475
49,0.870,489
50,0.887,620
51,0.904,346
52,0.920,635
53,0.937,447
54,0.954,402
55,0.970,510
56,0.987,517
57,1.003,513
58,1.020,411
59,1.037,510
60,1.053,539
61,1.070,476
62,1.087,558
63,1.103,420
64,1.120,401
65,1.137,485
66,1.153,510
67,1.170,491
68,1.186,593
69,1.203,676
70,1.220,510
71,1.236,593
72,1.253,443
73,1.270,471
74,1.286,457
75,1.303,424
76,1.319,487
77,1.336,563
78,1.353,574
79,1.369,650
80,1.386,400
81,1.403,667
82,1.419,350
83,1.436,391
84,1.453,639
85,1.469,532
86,1.486,518
87,1.502,555
88,1.519,1243
89,1.536,2356
90,1.552,1192
91,1.569,397
92,1.586,511
93,1.602,636
94,1.619,510
95,1.636,496
96,1.652,510
97,1.669,458
98,1.685,517
99,1.702,365
100,1.719,453
101,1.735,428
102,1.752,653
103,1.769,420
104,1.785,514
105,1.802,456
106,1.818,408
107,1.835,424
108,1.852,423
109,1.868,540
110,1.885,401
111,1.902,510
112,1.918,573
113,1.935,519
114,1.952,748
115,1.968,1042
116,1.985,541
117,2.001,477
118,2.018,513
119,2.035,455
120,2.051,632
121,2.068,592
122,2.085,556
123,2.101,469
124,2.118,584
125,2.135,459
126,2.151,460
127,2.168,426
128,2.184,456
129,2.201,453
130,2.218,362
131,2.234,569
132,2.251,398
133,2.268,510
