"#""+ BPC Scan stir_75um_sp-r002.d """,,
#Point,X(Minutes),Y(Counts)
362,6.074,1238
363,6.091,1035
364,6.107,1235
365,6.124,1383
366,6.14,1118
367,6.157,1442
368,6.174,1371
369,6.19,1369
370,6.207,1594
371,6.224,1332
372,6.24,1159
373,6.257,1494
374,6.274,939
375,6.29,1380
376,6.307,1331
377,6.323,946
378,6.34,1217
379,6.357,1636
380,6.373,1128
381,6.39,1531
382,6.407,1012
383,6.423,1567
384,6.44,1202
385,6.456,1209
386,6.473,1578
387,6.49,944
388,6.506,1351
389,6.523,1374
390,6.54,892
391,6.556,1182
392,6.573,1532
393,6.59,1021
394,6.606,827
395,6.623,1237
396,6.639,1245
397,6.656,1342
398,6.673,1470
399,6.689,904
400,6.706,1081
401,6.723,1495
402,6.739,996
403,6.756,806
404,6.773,1145
405,6.789,1215
406,6.806,705
407,6.822,1122
408,6.839,923
409,6.856,1027
410,6.872,1325
411,6.889,1589
412,6.906,1143
413,6.922,1418
414,6.939,1291
415,6.955,930
416,6.972,1063
417,6.989,1581
418,7.005,1502
419,7.022,1115
420,7.039,1298
421,7.055,1035
422,7.072,1128
423,7.089,1118
424,7.105,1270
425,7.122,844
426,7.138,914
427,7.155,1192
428,7.172,1031
429,7.188,1097
430,7.205,915
431,7.222,1201
432,7.238,1048
433,7.255,947
434,7.272,1289
435,7.288,1445
436,7.305,1553
437,7.321,879
438,7.338,1483
439,7.355,1398
440,7.371,1063
441,7.388,949
442,7.405,1206
443,7.421,1150
444,7.438,1080
445,7.454,1287
446,7.471,1253
447,7.488,1028
448,7.504,1111
449,7.521,1007
450,7.538,1156
451,7.554,1207
452,7.571,1061
453,7.588,1045
454,7.604,1146
455,7.621,961
456,7.637,949
457,7.654,886
458,7.671,978
459,7.687,1655
460,7.704,1161
461,7.721,1205
462,7.737,1221
463,7.754,1117
464,7.771,889
465,7.787,1217
466,7.804,1337
467,7.82,1359
468,7.837,1354
469,7.854,957
470,7.87,1448
471,7.887,854
472,7.904,1486
473,7.92,1072
474,7.937,1347
475,7.953,859
476,7.97,1526
477,7.987,1432
478,8.003,833
479,8.02,1063
480,8.037,1069
481,8.053,1248
482,8.07,1194
483,8.087,1152
484,8.103,991
485,8.12,922
486,8.136,1531
487,8.153,1012
488,8.17,1131
489,8.186,1322
490,8.203,1125
491,8.22,995
492,8.236,1434
493,8.253,962
494,8.27,645
495,8.286,1354
496,8.303,935
497,8.319,1135
498,8.336,893
499,8.353,1160
500,8.369,1108
501,8.386,1819
502,8.403,1234
503,8.419,1522
504,8.436,1541
505,8.452,1053
506,8.469,1103
507,8.486,1553
508,8.502,1002
509,8.519,1130
510,8.536,1574
511,8.552,1573
512,8.569,792
513,8.586,1243
514,8.602,1314
515,8.619,1363
516,8.635,1083
517,8.652,1179
518,8.669,1119
519,8.685,1015
520,8.702,888
521,8.719,1224
522,8.735,835
523,8.752,1070
524,8.769,1198
525,8.785,1695
526,8.802,1649
527,8.818,818
528,8.835,728
529,8.852,858
530,8.868,926
531,8.885,1356
532,8.902,1197
533,8.918,1312
534,8.935,1080
535,8.951,1203
536,8.968,1096
537,8.985,1042
538,9.001,1231
539,9.018,1054
540,9.035,934
541,9.051,1036
542,9.068,1331
543,9.085,1011
544,9.101,1006
545,9.118,1702
546,9.134,1365
547,9.151,1256
548,9.168,1253
549,9.184,1178
550,9.201,1236
551,9.218,1169
552,9.234,1258
553,9.251,913
554,9.268,1203
555,9.284,1167
556,9.301,1243
557,9.317,1232
558,9.334,932
559,9.351,1169
560,9.367,742
561,9.384,1056
562,9.401,1244
563,9.417,1364
564,9.434,1015
565,9.45,796
566,9.467,954
567,9.484,1242
568,9.5,1062
569,9.517,1115
570,9.534,916
571,9.55,1495
572,9.567,1058
573,9.584,1226
574,9.6,1069
575,9.617,971
576,9.633,1327
577,9.65,1023
578,9.667,1767
579,9.683,1191
580,9.7,1377
581,9.717,1055
582,9.733,1217
583,9.75,1391
584,9.767,1418
585,9.783,1556
586,9.8,1040
587,9.816,984
588,9.833,888
589,9.85,1264
590,9.866,1140
591,9.883,1255
592,9.9,1230
593,9.916,1007
594,9.933,1006
595,9.949,919
596,9.966,989
597,9.983,1173
598,9.999,1032
599,10.016,964
600,10.033,769
601,10.049,1295
602,10.066,1223
603,10.083,909
604,10.099,1270
605,10.116,1478
606,10.132,1095
607,10.149,1393
608,10.166,1662
609,10.182,1019
610,10.199,925
611,10.216,1080
612,10.232,1007
613,10.249,954
614,10.266,1111
615,10.282,951
616,10.299,932
617,10.315,1584
618,10.332,1154
619,10.349,1631
620,10.365,1239
621,10.382,1122
622,10.399,1269
623,10.415,1726
624,10.432,1371
625,10.448,980
626,10.465,1111
627,10.482,1083
628,10.498,957
629,10.515,870
630,10.532,983
631,10.548,1010
632,10.565,1472
633,10.582,1014
634,10.598,1180
635,10.615,1585
636,10.631,969
637,10.648,1372
638,10.665,1048
639,10.681,998
640,10.698,1073
641,10.715,1299
642,10.731,1031
643,10.748,1309
644,10.765,1022
645,10.781,852
646,10.798,978
647,10.814,1076
648,10.831,958
649,10.848,1051
650,10.864,1169
651,10.881,1169
652,10.898,1148
653,10.914,1607
654,10.931,820
655,10.947,919
656,10.964,1378
657,10.981,991
658,10.997,1043
659,11.014,812
660,11.031,1217
661,11.047,1975
662,11.064,1286
663,11.081,1028
664,11.097,957
665,11.114,1407
666,11.13,1235
667,11.147,926
668,11.164,783
669,11.18,927
670,11.197,951
671,11.214,833
672,11.23,989
673,11.247,1834
674,11.264,1114
675,11.28,942
676,11.297,1446
677,11.313,936
678,11.33,1174
679,11.347,901
680,11.363,891
681,11.38,1085
682,11.397,1100
683,11.413,1278
684,11.43,640
685,11.446,1851
686,11.463,981
