#"+ BPC Scan stir_75um_sp-r016.d "
#Point,X(Minutes),Y(Counts)
0,0.053,778
1,0.069,1293
2,0.086,1130
3,0.103,1436
4,0.119,1333
5,0.136,1589
6,0.153,1144
7,0.169,660
8,0.186,1409
9,0.202,1615
10,0.219,985
11,0.236,1220
12,0.252,1094
13,0.269,1277
14,0.286,939
15,0.302,1074
16,0.319,1195
17,0.335,895
18,0.352,1629
19,0.369,1399
20,0.385,1322
21,0.402,927
22,0.419,1211
23,0.435,1059
24,0.452,1288
25,0.469,986
26,0.485,1553
27,0.502,1159
28,0.518,938
29,0.535,1449
30,0.552,835
31,0.568,923
32,0.585,1264
33,0.602,1249
34,0.618,933
35,0.635,1602
36,0.652,1189
37,0.668,1155
38,0.685,1074
39,0.701,1335
40,0.718,722
41,0.735,1317
42,0.751,1627
43,0.768,834
44,0.785,1484
45,0.801,1200
46,0.818,1128
47,0.834,1416
48,0.851,1039
49,0.868,1292
50,0.884,983
51,0.901,1080
52,0.918,1209
53,0.934,1085
54,0.951,1049
55,0.968,1373
56,0.984,989
57,1.001,1106
58,1.017,674
59,1.034,1121
60,1.051,968
61,1.067,1151
62,1.084,1182
63,1.101,1271
64,1.117,799
65,1.134,1151
66,1.150,1387
67,1.167,1693
68,1.184,1103
69,1.200,862
70,1.217,934
71,1.234,1301
72,1.250,884
73,1.267,1259
74,1.284,1020
75,1.300,1050
76,1.317,1581
77,1.333,1332
78,1.350,853
79,1.367,964
80,1.383,1123
81,1.400,1126
82,1.417,1272
83,1.433,1321
84,1.450,935
85,1.467,1122
86,1.483,1024
87,1.500,1071
88,1.516,1293
89,1.533,1137
90,1.550,1460
91,1.566,765
92,1.583,1266
93,1.600,856
94,1.616,768
95,1.633,997
96,1.649,1284
97,1.666,933
98,1.683,1344
99,1.699,1342
100,1.716,1034
101,1.733,1132
102,1.749,1062
103,1.766,911
104,1.783,850
105,1.799,876
106,1.816,824
107,1.832,1273
108,1.849,1115
109,1.866,921
110,1.882,1379
111,1.899,1454
112,1.916,1016
113,1.932,1208
114,1.949,791
115,1.966,1341
