#"+ BPC Scan stir_75um_sp-r015.d "
#Point,X(Minutes),Y(Counts)
0,0.065,1231
1,0.082,1291
2,0.098,919
3,0.115,1092
4,0.132,1224
5,0.148,1263
6,0.165,870
7,0.181,1024
8,0.198,1188
9,0.215,1092
10,0.231,1298
11,0.248,1310
12,0.265,814
13,0.281,1215
14,0.298,954
15,0.315,928
16,0.331,865
17,0.348,1464
18,0.364,1258
19,0.381,1074
20,0.398,963
21,0.414,950
22,0.431,1025
23,0.448,740
24,0.464,1003
25,0.481,1032
26,0.497,1223
27,0.514,1228
28,0.531,2091
29,0.547,1328
30,0.564,1372
31,0.581,1121
32,0.597,798
33,0.614,1085
34,0.631,1476
35,0.647,1662
36,0.664,1459
37,0.680,1560
38,0.697,900
39,0.714,1326
40,0.730,1285
41,0.747,1228
42,0.764,1315
43,0.780,1009
44,0.797,1000
45,0.814,1153
46,0.830,790
47,0.847,1051
48,0.863,1280
49,0.880,853
50,0.897,1468
51,0.913,1211
52,0.930,1139
53,0.947,1283
54,0.963,1251
55,0.980,1418
56,0.996,1719
57,1.013,1318
58,1.030,1320
59,1.046,1496
60,1.063,971
61,1.080,1267
62,1.096,1117
63,1.113,1721
64,1.130,1436
65,1.146,1374
66,1.163,1122
67,1.179,1243
68,1.196,1086
69,1.213,1416
70,1.229,1282
71,1.246,1117
72,1.263,1298
73,1.279,1284
74,1.296,1252
75,1.313,1784
76,1.329,1427
77,1.346,1359
78,1.362,1028
79,1.379,1031
80,1.396,1005
81,1.412,1364
82,1.429,1202
83,1.446,1024
84,1.462,1462
85,1.479,1253
86,1.495,1251
87,1.512,1065
88,1.529,1244
89,1.545,966
90,1.562,1146
91,1.579,631
92,1.595,942
93,1.612,1044
94,1.629,1470
95,1.645,1237
96,1.662,1284
97,1.678,1484
98,1.695,1415
99,1.712,952
100,1.728,1242
101,1.745,1046
102,1.762,1115
103,1.778,1174
104,1.795,1268
105,1.812,828
106,1.828,1097
107,1.845,1601
108,1.861,1068
109,1.878,1186
110,1.895,1508
111,1.911,926
112,1.928,1156
113,1.945,897
114,1.961,1597
115,1.978,1499
116,1.995,1344
117,2.011,1108
118,2.028,1689
119,2.044,1479
120,2.061,1187
121,2.078,1150
122,2.094,1247
123,2.111,968
124,2.128,1464
125,2.144,1170
126,2.161,1003
127,2.177,1574
128,2.194,1404
129,2.211,1477
130,2.227,832
131,2.244,1141
132,2.261,1556
133,2.277,1416
134,2.294,1441
135,2.311,700
136,2.327,1252
137,2.344,1382
138,2.360,1506
139,2.377,965
140,2.394,1662
141,2.410,1351
142,2.427,996
143,2.444,1079
144,2.460,1041
145,2.477,1136
146,2.494,1253
147,2.510,1468
148,2.527,1404
149,2.543,1374
150,2.560,1353
151,2.577,999
152,2.593,1446
153,2.610,1007
154,2.627,1471
155,2.643,1268
156,2.660,1679
157,2.677,1269
158,2.693,1362
159,2.710,1125
160,2.726,1801
161,2.743,1344
162,2.760,1489
163,2.776,1324
164,2.793,1287
165,2.810,1187
166,2.826,1099
167,2.843,1060
168,2.859,1681
169,2.876,1432
170,2.893,910
171,2.909,1299
172,2.926,1174
173,2.943,1058
174,2.959,1248
175,2.976,1495
176,2.993,1220
177,3.009,1408
178,3.026,1188
179,3.042,1283
180,3.059,1857
181,3.076,737
182,3.092,1333
183,3.109,1592
184,3.126,1562
185,3.142,857
186,3.159,1407
187,3.176,1199
188,3.192,1113
189,3.209,1475
190,3.225,1010
191,3.242,1559
192,3.259,1121
193,3.275,1648
194,3.292,1308
195,3.309,1055
196,3.325,1789
197,3.342,1463
198,3.358,1542
199,3.375,1335
200,3.392,1070
201,3.408,1301
202,3.425,1426
203,3.442,1669
204,3.458,1057
205,3.475,1594
206,3.492,1209
207,3.508,1194
208,3.525,1739
209,3.541,1301
210,3.558,1512
211,3.575,1476
212,3.591,1428
213,3.608,1657
214,3.625,1152
215,3.641,1327
216,3.658,963
217,3.675,1332
218,3.691,1440
219,3.708,1363
220,3.724,1297
221,3.741,806
222,3.758,947
223,3.774,888
224,3.791,957
225,3.808,1677
226,3.824,846
227,3.841,1908
228,3.857,1295
229,3.874,1273
230,3.891,1003
231,3.907,1444
232,3.924,1163
233,3.941,1376
234,3.957,1958
235,3.974,1111
236,3.991,1034
237,4.007,952
238,4.024,1018
239,4.040,1363
240,4.057,1366
241,4.074,1412
242,4.090,1183
243,4.107,1199
244,4.124,1413
245,4.140,1153
246,4.157,1737
247,4.174,1180
248,4.190,1165
249,4.207,1089
250,4.223,1233
251,4.240,1137
252,4.257,1168
253,4.273,1498
254,4.290,1088
255,4.307,1462
256,4.323,1461
257,4.340,1456
258,4.356,1525
259,4.373,973
260,4.390,1271
261,4.406,1274
262,4.423,1129
263,4.440,1719
264,4.456,1015
265,4.473,1065
266,4.490,1236
267,4.506,1288
268,4.523,1259
269,4.539,1509
270,4.556,957
271,4.573,1490
272,4.589,1091
273,4.606,1079
274,4.623,1099
275,4.639,1267
276,4.656,1145
277,4.673,1513
278,4.689,1133
279,4.706,1225
280,4.722,1421
281,4.739,1088
282,4.756,1206
283,4.772,1174
284,4.789,1000
285,4.806,1141
286,4.822,1038
287,4.839,1071
288,4.855,977
289,4.872,1402
290,4.889,1379
291,4.905,832
292,4.922,1096
293,4.939,1066
294,4.955,1392
295,4.972,1048
296,4.989,1003
297,5.005,2027
298,5.022,1621
299,5.038,1809
300,5.055,1339
301,5.072,1220
302,5.088,916
303,5.105,940
304,5.122,1396
305,5.138,1123
306,5.155,1243
307,5.172,1489
308,5.188,1515
309,5.205,967
310,5.221,1567
311,5.238,1387
312,5.255,1060
313,5.271,1056
314,5.288,966
315,5.305,1136
316,5.321,810
317,5.338,1113
318,5.354,1537
319,5.371,1193
320,5.388,1693
321,5.404,1498
322,5.421,804
323,5.438,1099
324,5.454,1525
325,5.471,1373
326,5.488,1193
327,5.504,1182
328,5.521,1497
329,5.537,1252
330,5.554,1628
331,5.571,1125
332,5.587,1200
333,5.604,1328
334,5.621,1597
335,5.637,1318
336,5.654,1457
337,5.670,1032
338,5.687,1368
339,5.704,1459
340,5.720,1477
341,5.737,1195
342,5.754,1287
343,5.770,1439
344,5.787,1181
345,5.804,1264
346,5.820,1398
347,5.837,1252
348,5.853,1311
349,5.870,1331
350,5.887,1183
351,5.903,1688
352,5.920,801
353,5.937,1271
354,5.953,1656
355,5.970,1591
356,5.987,1182
357,6.003,1758
358,6.020,1104
359,6.036,1200
360,6.053,1074
361,6.070,1233
362,6.086,1397
363,6.103,1017
364,6.120,1647
365,6.136,1198
366,6.153,1418
367,6.169,1227
368,6.186,1205
369,6.203,1314
370,6.219,1240
371,6.236,1683
372,6.253,1517
373,6.269,1285
374,6.286,1336
375,6.303,932
376,6.319,1043
377,6.336,1417
378,6.352,1162
379,6.369,1162
380,6.386,1050
381,6.402,1276
382,6.419,964
383,6.436,1033
384,6.452,1078
385,6.469,1200
386,6.486,1214
387,6.502,1543
388,6.519,901
389,6.535,1265
390,6.552,1140
391,6.569,1226
392,6.585,1146
393,6.602,1265
394,6.619,875
395,6.635,1099
396,6.652,1257
397,6.668,1535
398,6.685,1137
399,6.702,1185
400,6.718,1287
401,6.735,948
402,6.752,1584
403,6.768,1451
404,6.785,1320
405,6.802,1037
406,6.818,1529
407,6.835,1186
408,6.851,1345
409,6.868,1474
410,6.885,1117
411,6.901,1159
412,6.918,1402
413,6.935,1178
414,6.951,1418
415,6.968,1415
416,6.985,922
417,7.001,1139
418,7.018,918
419,7.034,735
420,7.051,1164
421,7.068,1488
422,7.084,1255
423,7.101,1295
424,7.118,1209
425,7.134,1762
426,7.151,1574
427,7.167,1154
428,7.184,1103
429,7.201,1196
430,7.217,1080
431,7.234,1311
432,7.251,1401
433,7.267,1921
434,7.284,1066
435,7.301,1069
436,7.317,989
437,7.334,1432
438,7.350,1431
439,7.367,1346
440,7.384,1206
441,7.400,738
442,7.417,1794
443,7.434,1576
444,7.450,999
445,7.467,1304
446,7.484,1301
447,7.500,1133
448,7.517,1252
449,7.533,1226
450,7.550,1128
451,7.567,1862
452,7.583,1179
453,7.600,1277
454,7.617,698
455,7.633,1074
456,7.650,1408
457,7.666,1524
458,7.683,1308
459,7.700,1337
460,7.716,1033
461,7.733,1275
462,7.750,1206
463,7.766,1068
464,7.783,1430
465,7.800,1578
466,7.816,983
467,7.833,973
468,7.849,987
469,7.866,947
470,7.883,966
471,7.899,1507
472,7.916,1161
473,7.933,1151
474,7.949,1403
475,7.966,1215
476,7.983,1579
477,7.999,1560
478,8.016,1476
479,8.032,1333
480,8.049,1130
481,8.066,999
482,8.082,1470
483,8.099,1054
484,8.116,1233
485,8.132,1232
486,8.149,1436
487,8.165,1241
488,8.182,1199
489,8.199,1342
490,8.215,1276
491,8.232,1778
492,8.249,1212
493,8.265,1316
494,8.282,772
495,8.299,1029
496,8.315,1243
497,8.332,1143
498,8.348,1103
499,8.365,1723
500,8.382,1009
501,8.398,1514
502,8.415,1125
503,8.432,1174
504,8.448,1285
505,8.465,1050
506,8.482,1358
507,8.498,856
508,8.515,1408
509,8.531,1227
510,8.548,1303
511,8.565,1029
512,8.581,1304
513,8.598,969
514,8.615,1114
515,8.631,1519
516,8.648,1557
517,8.664,1290
518,8.681,1359
519,8.698,1410
520,8.714,1091
521,8.731,1154
522,8.748,1246
523,8.764,1184
524,8.781,1257
525,8.798,1077
526,8.814,1244
527,8.831,1331
528,8.847,1435
529,8.864,1138
530,8.881,1093
531,8.897,726
532,8.914,1123
533,8.931,1385
534,8.947,1397
535,8.964,1281
536,8.981,1947
537,8.997,1664
538,9.014,1442
539,9.030,994
540,9.047,1320
541,9.064,1496
542,9.080,1430
543,9.097,1383
544,9.114,1752
545,9.130,1141
546,9.147,1269
547,9.163,1636
548,9.180,1421
549,9.197,1652
550,9.213,1030
551,9.230,1271
552,9.247,1419
553,9.263,1246
554,9.280,993
555,9.297,1065
556,9.313,1070
557,9.330,1377
558,9.346,1180
559,9.363,1100
560,9.380,1144
561,9.396,1382
562,9.413,1228
563,9.430,838
564,9.446,1516
565,9.463,1280
566,9.480,1576
567,9.496,1112
568,9.513,1209
569,9.529,1228
570,9.546,1398
571,9.563,1116
572,9.579,1244
573,9.596,1572
574,9.613,1286
575,9.629,1087
576,9.646,994
577,9.663,1240
578,9.679,1462
579,9.696,1299
580,9.712,1263
581,9.729,1242
582,9.746,1331
583,9.762,1471
584,9.779,1174
585,9.796,1028
586,9.812,1524
587,9.829,1734
588,9.846,1111
589,9.862,1299
590,9.879,1766
591,9.895,1060
592,9.912,1078
593,9.929,781
594,9.945,1427
595,9.962,1549
596,9.979,1029
597,9.995,1173
598,10.012,1623
599,10.028,1375
600,10.045,1104
601,10.062,878
602,10.078,1609
603,10.095,1441
604,10.112,1219
605,10.128,1192
606,10.145,1423
607,10.162,1142
608,10.178,1234
609,10.195,1248
610,10.211,1140
611,10.228,1369
612,10.245,1170
613,10.261,1504
614,10.278,845
615,10.295,1424
616,10.311,1107
617,10.328,1202
618,10.345,1937
619,10.361,1085
620,10.378,1797
621,10.394,1127
622,10.411,1178
623,10.428,1334
624,10.444,1498
625,10.461,1522
626,10.478,1106
627,10.494,1232
628,10.511,1251
629,10.527,746
630,10.544,1434
631,10.561,1410
632,10.577,1271
633,10.594,1303
634,10.611,1422
635,10.627,1883
636,10.644,978
637,10.661,936
638,10.677,1233
639,10.694,775
640,10.710,1478
641,10.727,1309
642,10.744,885
643,10.760,991
644,10.777,1060
645,10.794,1297
646,10.810,1133
647,10.827,1301
648,10.844,1365
649,10.860,1140
650,10.877,806
651,10.893,1299
652,10.910,1776
653,10.927,1463
654,10.943,1077
655,10.960,1275
656,10.977,1001
657,10.993,931
658,11.010,1225
659,11.026,1081
660,11.043,1607
661,11.060,1035
662,11.076,1683
663,11.093,1332
664,11.110,1256
665,11.126,1410
666,11.143,1382
667,11.160,1383
668,11.176,1120
669,11.193,985
670,11.209,1727
671,11.226,922
672,11.243,1686
673,11.259,970
674,11.276,1338
675,11.293,1236
676,11.309,1351
677,11.326,1279
678,11.343,1456
679,11.359,1462
680,11.376,1075
681,11.392,1113
682,11.409,1107
683,11.426,1389
684,11.442,1711
685,11.459,1357
686,11.476,1782
687,11.492,1184
688,11.509,1218
689,11.525,959
690,11.542,1448
691,11.559,1165
692,11.575,1385
693,11.592,1474
694,11.609,1007
695,11.625,1223
696,11.642,1594
697,11.659,1062
698,11.675,721
699,11.692,1405
700,11.708,1408
701,11.725,1153
702,11.742,1631
703,11.758,909
704,11.775,1556
705,11.792,1284
706,11.808,975
707,11.825,1099
708,11.842,1078
709,11.858,1476
710,11.875,1004
711,11.891,1287
712,11.908,969
713,11.925,1124
714,11.941,1359
715,11.958,746
716,11.975,1062
717,11.991,979
718,12.008,1079
719,12.024,1205
720,12.041,1159
721,12.058,2017
722,12.074,1167
723,12.091,836
724,12.108,1484
725,12.124,1614
726,12.141,1030
727,12.158,1546
728,12.174,1162
729,12.191,1361
730,12.207,1390
731,12.224,1700
732,12.241,1094
733,12.257,1160
734,12.274,1012
735,12.291,1485
736,12.307,1513
737,12.324,1817
738,12.341,984
739,12.357,1188
740,12.374,1588
741,12.390,1521
742,12.407,940
743,12.424,1286
744,12.440,1092
745,12.457,1207
746,12.474,1558
747,12.490,1463
748,12.507,914
749,12.523,883
750,12.540,975
751,12.557,1921
752,12.573,1219
753,12.590,1408
754,12.607,1444
755,12.623,1178
756,12.640,1311
757,12.657,1504
758,12.673,1263
759,12.690,1172
760,12.706,875
761,12.723,1052
762,12.740,1275
763,12.756,1181
764,12.773,1076
765,12.790,942
766,12.806,1244
767,12.823,1098
768,12.839,1099
769,12.856,1671
770,12.873,1401
771,12.889,1436
772,12.906,1256
773,12.923,1049
774,12.939,1459
775,12.956,1197
776,12.973,1326
777,12.989,1599
778,13.006,1376
779,13.022,1264
780,13.039,785
781,13.056,1110
782,13.072,1423
783,13.089,1672
784,13.106,1192
785,13.122,1368
786,13.139,1136
787,13.156,1082
788,13.172,1772
789,13.189,1417
790,13.205,1153
791,13.222,1326
792,13.239,1672
793,13.255,1323
794,13.272,1751
795,13.289,883
796,13.305,1582
797,13.322,1071
798,13.338,1512
799,13.355,1015
800,13.372,1220
801,13.388,1570
802,13.405,1047
803,13.422,1104
804,13.438,1278
805,13.455,844
806,13.472,1776
807,13.488,1352
808,13.505,1560
809,13.521,1535
810,13.538,887
811,13.555,1295
812,13.571,1513
813,13.588,1348
814,13.605,1387
815,13.621,1364
816,13.638,1117
817,13.655,1073
818,13.671,1085
819,13.688,1332
820,13.704,1232
821,13.721,1404
822,13.738,1261
