#"+ BPC Scan stir_75um_sp-r012.d "
#Point,X(Minutes),Y(Counts)
0,0.051,926
1,0.068,1000
2,0.084,1308
3,0.101,1362
4,0.118,1748
5,0.134,1261
6,0.151,1148
7,0.167,1084
8,0.184,974
9,0.201,1234
10,0.217,1384
11,0.234,1448
12,0.251,1488
13,0.267,1340
14,0.284,903
15,0.301,994
16,0.317,738
17,0.334,1217
18,0.350,986
19,0.367,1342
20,0.384,918
21,0.400,1112
22,0.417,1420
23,0.434,942
24,0.450,763
25,0.467,1358
26,0.483,988
27,0.500,1038
28,0.517,1134
29,0.533,1163
30,0.550,1010
31,0.567,1510
32,0.583,903
33,0.600,1009
34,0.617,1882
35,0.633,788
36,0.650,1557
37,0.666,1166
38,0.683,1125
39,0.700,1094
40,0.716,947
41,0.733,1270
42,0.750,1129
43,0.766,1543
44,0.783,1196
45,0.800,1144
46,0.816,1045
47,0.833,1170
48,0.849,1025
49,0.866,1339
50,0.883,1169
51,0.899,1326
52,0.916,1388
53,0.933,1486
54,0.949,1151
55,0.966,1529
56,0.982,1066
57,0.999,1095
58,1.016,1015
59,1.032,938
60,1.049,1442
61,1.066,1074
62,1.082,1698
63,1.099,1433
64,1.116,1130
65,1.132,1411
66,1.149,1495
67,1.165,810
68,1.182,1149
69,1.199,1145
70,1.215,1800
71,1.232,1253
72,1.249,1190
73,1.265,1615
74,1.282,1427
75,1.299,1173
76,1.315,993
77,1.332,1216
78,1.348,1249
79,1.365,1418
80,1.382,1202
81,1.398,1185
82,1.415,1650
83,1.432,1269
84,1.448,1233
85,1.465,1036
86,1.481,1448
87,1.498,1908
88,1.515,1223
89,1.531,1103
90,1.548,1128
91,1.565,907
92,1.581,1565
93,1.598,903
94,1.615,1359
95,1.631,1107
96,1.648,1717
97,1.664,1246
98,1.681,1505
99,1.698,1616
100,1.714,954
101,1.731,1146
102,1.748,982
103,1.764,1171
104,1.781,1125
105,1.798,1532
106,1.814,1947
107,1.831,1351
108,1.847,1364
109,1.864,1152
110,1.881,1660
111,1.897,1356
112,1.914,907
113,1.931,1048
114,1.947,1098
115,1.964,1227
116,1.980,1115
117,1.997,915
118,2.014,1464
119,2.030,1157
120,2.047,1260
121,2.064,1558
122,2.080,1345
123,2.097,1473
124,2.114,1159
125,2.130,1280
126,2.147,1185
127,2.163,1125
128,2.180,1299
129,2.197,1202
130,2.213,1059
131,2.230,1254
132,2.247,1033
133,2.263,1353
134,2.280,972
135,2.297,1513
136,2.313,1161
137,2.330,1418
138,2.346,874
139,2.363,878
140,2.380,1502
141,2.396,1105
142,2.413,1168
143,2.430,1518
144,2.446,1584
145,2.463,1426
146,2.479,1352
147,2.496,1279
148,2.513,1226
149,2.529,1288
150,2.546,1238
151,2.563,1240
152,2.579,1390
153,2.596,1297
154,2.613,1382
155,2.629,1151
156,2.646,1412
157,2.663,1128
158,2.679,1186
159,2.696,978
160,2.712,1126
161,2.729,1075
162,2.746,1123
163,2.762,1158
164,2.779,1472
165,2.796,1141
166,2.812,1398
167,2.829,1055
168,2.845,1695
169,2.862,1252
170,2.879,1139
171,2.895,841
172,2.912,1503
173,2.929,1413
174,2.945,1211
175,2.962,1430
176,2.979,1185
177,2.995,1254
178,3.012,1051
179,3.028,953
180,3.045,1004
181,3.062,1389
182,3.078,875
183,3.095,938
184,3.112,954
185,3.128,1301
186,3.145,1036
187,3.162,1158
188,3.178,1114
189,3.195,1292
190,3.211,939
191,3.228,1495
192,3.245,952
193,3.261,1250
194,3.278,1078
195,3.295,1157
196,3.311,1331
197,3.328,825
198,3.344,1474
199,3.361,1437
200,3.378,1451
201,3.394,1256
202,3.411,1293
203,3.428,1069
204,3.444,1286
205,3.461,1096
206,3.478,1173
207,3.494,1093
208,3.511,1770
209,3.527,1499
210,3.544,1361
211,3.561,1460
212,3.577,1177
213,3.594,1318
214,3.611,1188
215,3.627,1145
216,3.644,1486
217,3.661,1157
218,3.677,1227
219,3.694,1265
220,3.710,1285
221,3.727,973
222,3.744,1051
223,3.760,818
224,3.777,1206
225,3.794,1476
226,3.810,1132
227,3.827,1284
228,3.843,1400
229,3.860,1065
230,3.877,1412
