"#""+ BPC Scan stir_75um_sp-r008.d """,,
#Point,X(Minutes),Y(Counts)
0,0.067,1583
1,0.083,1306
2,0.1,1072
3,0.116,1813
4,0.133,1126
5,0.15,1195
6,0.166,1219
7,0.183,1452
8,0.2,1490
9,0.216,1035
10,0.233,1492
11,0.25,1412
12,0.266,1287
13,0.283,1375
14,0.299,1212
15,0.316,1572
16,0.333,1284
17,0.349,1454
18,0.366,1978
19,0.383,1775
20,0.399,1366
21,0.416,1178
22,0.433,927
23,0.449,1613
24,0.466,1336
25,0.482,1483
26,0.499,1464
27,0.516,1050
28,0.532,1267
29,0.549,1572
30,0.566,1794
31,0.582,1300
32,0.599,1406
33,0.615,1648
34,0.632,1236
35,0.649,1538
36,0.665,1427
37,0.682,1585
38,0.699,1393
39,0.715,1658
40,0.732,1656
41,0.749,1546
42,0.765,987
43,0.782,952
44,0.798,1114
45,0.815,1142
46,0.832,1849
47,0.848,1371
48,0.865,1117
49,0.882,1442
50,0.898,1272
51,0.915,1231
52,0.932,1156
53,0.948,1178
54,0.965,1238
55,0.981,1468
56,0.998,1113
57,1.015,1411
58,1.031,1759
59,1.048,1257
60,1.065,1717
61,1.081,1695
62,1.098,1935
63,1.114,2016
64,1.131,2042
65,1.148,1879
66,1.164,1358
67,1.181,1188
68,1.198,1615
69,1.214,1052
70,1.231,1668
71,1.248,1192
72,1.264,1928
73,1.281,1781
74,1.297,1451
75,1.314,1237
76,1.331,1409
77,1.347,1559
78,1.364,1389
79,1.381,1124
80,1.397,1544
81,1.414,1411
82,1.431,1282
83,1.447,1590
84,1.464,1342
85,1.48,1371
86,1.497,962
87,1.514,1468
88,1.53,1446
89,1.547,1445
90,1.564,1287
91,1.58,1531
92,1.597,1364
93,1.613,1609
94,1.63,1401
95,1.647,1258
96,1.663,1504
97,1.68,1464
98,1.697,1368
99,1.713,963
100,1.73,1823
101,1.747,1295
102,1.763,1198
103,1.78,1934
104,1.796,1686
105,1.813,1107
106,1.83,1731
107,1.846,1665
108,1.863,1204
109,1.88,1268
110,1.896,1343
111,1.913,1972
112,1.93,1767
113,1.946,1777
114,1.963,1452
115,1.979,1272
116,1.996,1671
117,2.013,1232
118,2.029,1323
119,2.046,1197
120,2.063,1150
121,2.079,1230
122,2.096,1398
123,2.112,2120
124,2.129,1571
125,2.146,1346
126,2.162,1198
127,2.179,2033
128,2.196,2005
129,2.212,1169
130,2.229,1062
131,2.246,1159
132,2.262,1971
133,2.279,1257
134,2.295,838
135,2.312,1525
136,2.329,1415
137,2.345,1640
138,2.362,1686
139,2.379,1425
140,2.395,1704
141,2.412,1435
142,2.429,1781
143,2.445,1543
144,2.462,1435
145,2.478,1366
146,2.495,1104
147,2.512,1564
148,2.528,1539
149,2.545,2054
150,2.562,1566
151,2.578,1287
152,2.595,1312
153,2.611,1597
154,2.628,1333
155,2.645,1319
156,2.661,1397
157,2.678,1424
158,2.695,1619
159,2.711,1180
160,2.728,1521
161,2.745,1538
162,2.761,1699
163,2.778,1491
164,2.794,1558
165,2.811,1607
166,2.828,1464
167,2.844,1660
168,2.861,1579
169,2.878,1140
170,2.894,1551
171,2.911,1515
172,2.928,1786
173,2.944,1671
174,2.961,939
175,2.977,1006
176,2.994,1739
177,3.011,1674
178,3.027,1695
179,3.044,1352
180,3.061,1459
181,3.077,1531
182,3.094,1675
183,3.11,1395
184,3.127,1501
185,3.144,1503
186,3.16,1724
187,3.177,1719
188,3.194,1370
189,3.21,1652
190,3.227,1557
191,3.244,1129
192,3.26,1543
193,3.277,1519
194,3.293,1614
195,3.31,1156
196,3.327,1245
197,3.343,1078
198,3.36,981
199,3.377,1642
200,3.393,1365
201,3.41,1574
202,3.427,1431
203,3.443,1968
204,3.46,1373
205,3.476,1225
206,3.493,1760
207,3.51,1079
208,3.526,1101
209,3.543,1367
210,3.56,1805
211,3.576,1298
212,3.593,1131
213,3.609,1369
214,3.626,1298
215,3.643,1278
216,3.659,1663
217,3.676,2088
218,3.693,1781
219,3.709,947
220,3.726,1980
221,3.743,1480
222,3.759,1408
223,3.776,1321
224,3.792,1780
225,3.809,1102
226,3.826,1295
227,3.842,1509
228,3.859,1137
229,3.876,1470
230,3.892,1550
231,3.909,1297
232,3.925,1243
233,3.942,1685
234,3.959,1727
235,3.975,1413
236,3.992,968
237,4.009,1827
238,4.025,1280
239,4.042,1340
240,4.059,1355
241,4.075,1724
242,4.092,1649
243,4.108,1718
244,4.125,1483
245,4.142,1403
246,4.158,1392
247,4.175,1573
248,4.192,2230
249,4.208,1272
250,4.225,1503
251,4.242,1179
252,4.258,1694
253,4.275,2161
254,4.291,1388
255,4.308,1602
256,4.325,1593
257,4.341,1201
258,4.358,1328
259,4.375,1427
260,4.391,1700
261,4.408,1562
262,4.424,1485
263,4.441,1121
264,4.458,1480
265,4.474,1605
266,4.491,884
267,4.508,1083
268,4.524,1040
269,4.541,1364
270,4.558,1528
271,4.574,1706
272,4.591,1249
273,4.607,1382
274,4.624,1453
275,4.641,1582
276,4.657,1356
277,4.674,1591
278,4.691,1121
279,4.707,1757
280,4.724,1504
281,4.741,2097
282,4.757,1508
283,4.774,1183
284,4.79,1403
285,4.807,2373
286,4.824,2281
287,4.84,1484
288,4.857,1633
289,4.874,1645
290,4.89,1400
291,4.907,1378
292,4.923,1365
293,4.94,1543
294,4.957,1757
295,4.973,1234
296,4.99,1260
297,5.007,1154
298,5.023,1446
299,5.04,1251
300,5.057,1582
301,5.073,1459
302,5.09,1300
303,5.106,1421
304,5.123,1463
305,5.14,1681
306,5.156,1629
307,5.173,1400
308,5.19,1331
309,5.206,1297
310,5.223,1733
311,5.24,1377
312,5.256,1535
313,5.273,1510
314,5.289,2077
315,5.306,1565
316,5.323,1352
317,5.339,1390
318,5.356,1256
319,5.373,1353
320,5.389,1501
321,5.406,1311
322,5.422,1495
323,5.439,1118
324,5.456,1441
325,5.472,1400
326,5.489,1420
327,5.506,1200
328,5.522,1540
329,5.539,1985
330,5.556,1683
331,5.572,1185
332,5.589,1778
333,5.605,2002
334,5.622,1306
335,5.639,1818
336,5.655,1360
337,5.672,1338
338,5.689,2096
339,5.705,1539
340,5.722,1609
341,5.739,1509
342,5.755,1161
343,5.772,1231
344,5.788,2013
345,5.805,1905
346,5.822,1410
347,5.838,1132
348,5.855,1782
349,5.872,2008
350,5.888,1983
351,5.905,1797
352,5.921,2248
353,5.938,1615
354,5.955,1476
355,5.971,2280
356,5.988,1536
357,6.005,1643
358,6.021,1776
359,6.038,1605
360,6.055,1310
361,6.071,845
362,6.088,1255
363,6.104,1610
364,6.121,2149
365,6.138,1052
366,6.154,1479
367,6.171,1203
368,6.188,1249
369,6.204,1464
370,6.221,1592
371,6.238,1320
372,6.254,1075
373,6.271,1362
374,6.287,1732
375,6.304,914
376,6.321,1108
377,6.337,1071
378,6.354,1413
379,6.371,1474
380,6.387,1386
381,6.404,1208
382,6.42,1104
383,6.437,1535
384,6.454,1079
385,6.47,1641
386,6.487,1566
387,6.504,1922
388,6.52,1780
389,6.537,1584
390,6.554,1428
391,6.57,1809
392,6.587,1327
393,6.603,1236
394,6.62,1530
395,6.637,1251
396,6.653,1672
397,6.67,1280
398,6.687,1231
399,6.703,1534
400,6.72,1456
401,6.737,1952
402,6.753,1717
403,6.77,1746
404,6.786,1422
405,6.803,1584
406,6.82,1732
407,6.836,1216
408,6.853,1383
409,6.87,1581
410,6.886,1874
411,6.903,1293
412,6.919,1504
413,6.936,1526
414,6.953,1584
415,6.969,1725
416,6.986,1771
417,7.003,1397
418,7.019,1153
419,7.036,1419
420,7.053,1452
421,7.069,1739
422,7.086,1490
423,7.102,1745
424,7.119,1420
425,7.136,1404
426,7.152,1705
427,7.169,1573
428,7.186,1381
429,7.202,1423
430,7.219,1491
431,7.236,1506
432,7.252,1678
433,7.269,1441
434,7.285,1633
435,7.302,1613
436,7.319,1385
437,7.335,1339
438,7.352,1383
439,7.369,1296
440,7.385,1845
441,7.402,1445
442,7.418,2043
443,7.435,1501
444,7.452,1526
445,7.468,2242
446,7.485,1684
447,7.502,1294
448,7.518,1354
449,7.535,1642
450,7.552,1904
451,7.568,1494
452,7.585,1464
453,7.601,1287
454,7.618,1393
455,7.635,1893
456,7.651,1182
457,7.668,1282
458,7.685,1624
459,7.701,1314
460,7.718,1462
461,7.735,1342
462,7.751,1290
463,7.768,1421
464,7.784,1342
