#"+ BPC Scan stir_75um_sp-r020.d "
#Point,X(Minutes),Y(Counts)
0,0.068,1228
1,0.085,892
2,0.101,989
3,0.118,863
4,0.135,802
5,0.151,866
6,0.168,971
7,0.184,910
8,0.201,737
9,0.218,630
10,0.234,1462
11,0.251,780
12,0.268,992
13,0.284,873
14,0.301,820
15,0.318,949
16,0.334,1128
17,0.351,780
18,0.367,956
19,0.384,1212
20,0.401,1574
21,0.417,1075
22,0.434,1471
23,0.451,1134
24,0.467,1192
25,0.484,2037
26,0.500,762
27,0.517,1419
28,0.534,1291
29,0.550,989
30,0.567,1183
31,0.584,1103
32,0.600,782
33,0.617,879
34,0.634,809
35,0.650,970
36,0.667,1207
37,0.683,696
38,0.700,1231
39,0.717,1022
40,0.733,926
41,0.750,876
42,0.767,1375
43,0.783,870
44,0.800,1392
45,0.816,981
46,0.833,976
47,0.850,1035
48,0.866,1143
49,0.883,975
50,0.900,1218
51,0.916,1234
52,0.933,782
53,0.950,1024
54,0.966,1103
55,0.983,1637
56,0.999,863
57,1.016,1322
58,1.033,877
59,1.049,803
60,1.066,1356
61,1.083,851
62,1.099,958
63,1.116,1329
64,1.133,1182
65,1.149,807
66,1.166,1365
67,1.182,1086
68,1.199,865
69,1.216,1076
70,1.232,1028
71,1.249,879
72,1.266,809
73,1.282,1178
74,1.299,1275
75,1.315,963
76,1.332,1296
77,1.349,1269
78,1.365,1713
79,1.382,861
80,1.399,906
81,1.415,1066
82,1.432,1016
83,1.449,1516
84,1.465,1052
85,1.482,1178
86,1.498,962
87,1.515,1037
88,1.532,994
89,1.548,894
90,1.565,633
91,1.582,1149
92,1.598,984
93,1.615,1493
94,1.632,980
95,1.648,1467
96,1.665,1238
97,1.681,1013
98,1.698,918
99,1.715,974
100,1.731,1272
101,1.748,1058
102,1.765,1059
103,1.781,887
104,1.798,1058
105,1.814,1121
106,1.831,1221
107,1.848,1489
108,1.864,1268
109,1.881,994
110,1.898,1403
111,1.914,1059
112,1.931,1115
113,1.948,1385
114,1.964,1048
115,1.981,840
116,1.997,1048
117,2.014,1120
118,2.031,1300
119,2.047,1216
120,2.064,735
121,2.081,972
122,2.097,1073
123,2.114,1263
124,2.131,918
125,2.147,792
126,2.164,920
127,2.180,957
128,2.197,981
129,2.214,1051
130,2.230,1036
131,2.247,1679
132,2.264,1322
133,2.280,916
134,2.297,797
135,2.313,1041
136,2.330,801
137,2.347,1261
138,2.363,1059
139,2.380,833
140,2.397,921
141,2.413,883
142,2.430,1316
143,2.447,790
144,2.463,1218
145,2.480,1214
146,2.496,705
147,2.513,1173
148,2.530,990
149,2.546,909
150,2.563,1181
151,2.580,1322
152,2.596,1043
153,2.613,1019
154,2.630,1048
155,2.646,1180
156,2.663,827
157,2.679,1126
158,2.696,1121
159,2.713,840
160,2.729,933
161,2.746,1266
162,2.763,1286
163,2.779,1456
164,2.796,845
165,2.812,895
166,2.829,762
167,2.846,734
168,2.862,1259
169,2.879,1503
170,2.896,906
171,2.912,761
172,2.929,839
173,2.946,931
174,2.962,713
175,2.979,1063
176,2.995,1045
177,3.012,1359
178,3.029,1346
179,3.045,1069
180,3.062,655
181,3.079,1839
182,3.095,987
183,3.112,980
184,3.129,977
185,3.145,1449
186,3.162,1275
187,3.178,640
188,3.195,980
189,3.212,1258
190,3.228,1263
191,3.245,1370
192,3.262,735
193,3.278,1391
194,3.295,1129
195,3.311,1000
196,3.328,1369
197,3.345,961
198,3.361,1119
199,3.378,838
200,3.395,1076
201,3.411,675
202,3.428,1233
203,3.445,941
204,3.461,886
205,3.478,1245
206,3.494,1005
207,3.511,706
208,3.528,1275
209,3.544,1267
210,3.561,1129
211,3.578,820
212,3.594,1279
213,3.611,1263
214,3.628,864
215,3.644,1347
216,3.661,816
217,3.677,874
218,3.694,1391
219,3.711,923
220,3.727,1590
221,3.744,676
222,3.761,1133
223,3.777,911
224,3.794,1150
225,3.810,1036
226,3.827,915
227,3.844,1159
228,3.860,921
229,3.877,1060
230,3.894,904
231,3.910,873
232,3.927,1243
233,3.944,950
234,3.960,822
235,3.977,1097
236,3.993,1362
237,4.010,944
238,4.027,936
239,4.043,788
240,4.060,947
241,4.077,968
242,4.093,843
243,4.110,1007
244,4.127,1042
245,4.143,1072
246,4.160,1358
247,4.176,1358
248,4.193,1035
249,4.210,887
250,4.226,911
251,4.243,942
252,4.260,981
253,4.276,781
254,4.293,1209
255,4.309,1189
256,4.326,976
