#"+ BPC Scan stir_75um_sp-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.068,300
1,0.084,337
2,0.101,264
3,0.118,325
4,0.134,316
5,0.151,341
6,0.168,284
7,0.184,282
8,0.201,334
9,0.217,317
10,0.234,352
11,0.251,299
12,0.267,365
13,0.284,286
14,0.301,295
15,0.317,342
16,0.334,284
17,0.351,270
18,0.367,359
19,0.384,295
20,0.400,327
21,0.417,288
22,0.434,310
23,0.450,334
24,0.467,294
25,0.484,365
26,0.500,298
27,0.517,302
28,0.533,285
29,0.550,355
30,0.567,297
31,0.583,315
32,0.600,280
33,0.617,339
34,0.633,344
35,0.650,281
36,0.667,281
37,0.683,271
38,0.700,281
39,0.716,320
40,0.733,350
41,0.750,267
42,0.766,290
43,0.783,290
44,0.800,421
45,0.816,359
46,0.833,341
47,0.850,322
48,0.866,341
49,0.883,278
50,0.899,399
51,0.916,331
52,0.933,293
53,0.949,308
54,0.966,279
55,0.983,321
56,0.999,311
57,1.016,303
58,1.032,304
59,1.049,296
60,1.066,300
61,1.082,376
62,1.099,375
63,1.116,325
64,1.132,533
65,1.149,255
66,1.166,276
67,1.182,385
68,1.199,293
69,1.215,255
70,1.232,296
71,1.249,383
72,1.265,303
73,1.282,379
74,1.299,297
75,1.315,352
76,1.332,329
77,1.349,290
78,1.365,271
79,1.382,262
80,1.398,284
81,1.415,284
82,1.432,295
83,1.448,282
84,1.465,329
85,1.482,292
86,1.498,290
87,1.515,274
88,1.531,317
89,1.548,255
90,1.565,283
91,1.581,294
92,1.598,302
93,1.615,306
94,1.631,284
95,1.648,306
96,1.665,313
97,1.681,417
98,1.698,336
99,1.714,428
100,1.731,306
101,1.748,256
102,1.764,274
103,1.781,339
104,1.798,346
105,1.814,293
106,1.831,335
107,1.848,290
108,1.864,296
109,1.881,336
110,1.897,299
111,1.914,267
112,1.931,299
113,1.947,286
114,1.964,321
115,1.981,291
116,1.997,278
117,2.014,260
118,2.030,303
119,2.047,269
120,2.064,350
121,2.080,299
122,2.097,284
123,2.114,329
124,2.130,344
125,2.147,373
126,2.164,324
127,2.180,297
128,2.197,281
129,2.213,362
130,2.230,301
131,2.247,365
132,2.263,342
133,2.280,294
134,2.297,322
135,2.313,274
136,2.330,294
137,2.347,280
138,2.363,296
139,2.380,292
140,2.396,325
141,2.413,340
142,2.430,398
143,2.446,333
144,2.463,365
145,2.480,291
146,2.496,324
147,2.513,277
148,2.529,422
149,2.546,285
150,2.563,256
151,2.579,294
152,2.596,286
153,2.613,259
154,2.629,301
155,2.646,348
156,2.663,326
157,2.679,307
158,2.696,276
159,2.712,331
160,2.729,298
161,2.746,391
162,2.762,319
163,2.779,291
164,2.796,335
165,2.812,268
166,2.829,289
167,2.846,317
168,2.862,325
169,2.879,310
170,2.895,311
171,2.912,376
172,2.929,344
173,2.945,398
174,2.962,302
175,2.979,285
176,2.995,266
177,3.012,307
178,3.028,285
179,3.045,338
180,3.062,572
181,3.078,258
182,3.095,267
183,3.112,301
184,3.128,256
185,3.145,295
186,3.162,301
187,3.178,270
188,3.195,362
189,3.211,255
190,3.228,256
191,3.245,288
192,3.261,283
193,3.278,259
194,3.295,351
195,3.311,271
196,3.328,301
197,3.345,271
198,3.361,257
199,3.378,296
200,3.394,328
201,3.411,299
202,3.428,272
203,3.444,274
204,3.461,347
205,3.478,336
206,3.494,319
207,3.511,350
208,3.527,287
209,3.544,323
210,3.561,358
211,3.577,262
212,3.594,353
213,3.611,399
214,3.627,346
