#"+ BPC Scan stir_75um_sp-r017.d "
#Point,X(Minutes),Y(Counts)
0,0.057,1085
1,0.074,1179
2,0.091,836
3,0.107,840
4,0.124,880
5,0.140,1036
6,0.157,1025
7,0.174,1086
8,0.190,1358
9,0.207,883
10,0.224,1301
11,0.240,1113
12,0.257,888
13,0.274,1260
14,0.290,940
15,0.307,982
16,0.323,1029
17,0.340,902
18,0.357,839
19,0.373,1046
20,0.390,612
21,0.407,1070
22,0.423,1128
23,0.440,1316
24,0.456,803
25,0.473,815
26,0.490,1025
27,0.506,1031
28,0.523,1263
29,0.540,909
30,0.556,1235
31,0.573,983
32,0.590,1143
33,0.606,1290
34,0.623,820
35,0.639,1040
36,0.656,965
37,0.673,988
38,0.689,1322
39,0.706,1126
40,0.723,1312
41,0.739,1160
42,0.756,876
43,0.773,1057
44,0.789,771
45,0.806,1234
46,0.822,1005
47,0.839,1171
48,0.856,804
49,0.872,1440
50,0.889,1564
51,0.906,1331
52,0.922,1073
53,0.939,1165
54,0.955,919
55,0.972,1661
56,0.989,984
57,1.005,819
58,1.022,1384
59,1.039,1067
60,1.055,966
61,1.072,1179
62,1.089,1040
63,1.105,1716
64,1.122,1028
65,1.138,1152
66,1.155,1404
67,1.172,1569
68,1.188,1144
69,1.205,1059
70,1.222,984
71,1.238,871
72,1.255,1279
73,1.272,1015
74,1.288,905
75,1.305,1427
76,1.321,957
77,1.338,798
78,1.355,1457
79,1.371,1476
80,1.388,884
81,1.405,1180
82,1.421,1057
83,1.438,1349
84,1.454,1384
85,1.471,1239
86,1.488,1586
87,1.504,1396
88,1.521,918
89,1.538,1071
90,1.554,1094
91,1.571,1360
92,1.588,1134
93,1.604,1019
94,1.621,1131
95,1.637,1410
96,1.654,1407
97,1.671,1409
98,1.687,1125
99,1.704,1177
100,1.721,1059
101,1.737,958
102,1.754,897
103,1.771,1617
104,1.787,1142
105,1.804,1245
106,1.820,1222
107,1.837,890
108,1.854,1041
109,1.870,1051
110,1.887,1526
111,1.904,1115
112,1.920,1143
113,1.937,1290
114,1.953,1118
115,1.970,1239
116,1.987,1145
117,2.003,1039
118,2.020,997
119,2.037,1609
120,2.053,1241
121,2.070,1314
122,2.087,1746
123,2.103,1211
124,2.120,1653
125,2.136,883
126,2.153,883
127,2.170,1003
128,2.186,1126
129,2.203,952
130,2.220,978
131,2.236,1443
132,2.253,1132
133,2.269,1000
134,2.286,974
135,2.303,909
136,2.319,1282
137,2.336,1197
138,2.353,1231
139,2.369,1197
140,2.386,1341
141,2.403,1309
142,2.419,1226
143,2.436,1616
144,2.452,1324
145,2.469,1062
146,2.486,906
147,2.502,1116
148,2.519,1117
149,2.536,858
150,2.552,1064
151,2.569,598
152,2.586,1231
153,2.602,1145
154,2.619,1318
155,2.635,1404
156,2.652,980
157,2.669,1722
158,2.685,1720
159,2.702,1456
160,2.719,904
161,2.735,902
162,2.752,1163
163,2.768,1247
164,2.785,858
165,2.802,1389
166,2.818,1074
167,2.835,1250
168,2.852,1288
169,2.868,877
170,2.885,1331
171,2.902,1338
172,2.918,1533
173,2.935,1246
174,2.951,1307
175,2.968,979
176,2.985,935
177,3.001,1383
178,3.018,886
179,3.035,975
180,3.051,1369
181,3.068,1192
182,3.085,908
183,3.101,1101
184,3.118,1079
185,3.134,1190
186,3.151,1838
187,3.168,1821
188,3.184,984
189,3.201,883
190,3.218,1161
191,3.234,1568
192,3.251,1135
193,3.267,1452
194,3.284,1643
195,3.301,1171
196,3.317,1404
197,3.334,1368
198,3.351,1374
199,3.367,1273
200,3.384,1023
201,3.401,1275
202,3.417,1144
203,3.434,1585
204,3.450,1175
205,3.467,1041
206,3.484,672
207,3.500,1584
208,3.517,995
209,3.534,1419
210,3.550,1186
211,3.567,987
212,3.584,1687
213,3.600,1236
214,3.617,987
215,3.633,1013
216,3.650,1170
217,3.667,1346
218,3.683,1594
219,3.700,1050
220,3.717,1213
221,3.733,1154
222,3.750,1041
223,3.766,839
224,3.783,1595
225,3.800,1117
226,3.816,761
227,3.833,1073
228,3.850,1049
229,3.866,885
230,3.883,1353
231,3.900,1593
232,3.916,1440
233,3.933,1040
234,3.949,1315
235,3.966,1170
236,3.983,967
237,3.999,1162
238,4.016,862
239,4.033,980
240,4.049,1172
241,4.066,969
242,4.083,1393
243,4.099,1026
244,4.116,1295
245,4.132,1258
246,4.149,1668
247,4.166,1338
248,4.182,1224
249,4.199,1440
250,4.216,1405
251,4.232,1888
252,4.249,1249
253,4.265,1266
254,4.282,757
255,4.299,1012
256,4.315,852
257,4.332,1195
258,4.349,1188
259,4.365,1428
260,4.382,1201
261,4.399,1459
262,4.415,1057
263,4.432,688
264,4.448,1070
265,4.465,940
266,4.482,1131
267,4.498,1602
268,4.515,1071
269,4.532,1043
270,4.548,903
271,4.565,1138
272,4.582,945
273,4.598,933
274,4.615,1088
275,4.631,727
276,4.648,1005
277,4.665,1166
278,4.681,927
279,4.698,988
280,4.715,1332
281,4.731,1395
282,4.748,849
283,4.764,1385
284,4.781,1507
285,4.798,1014
286,4.814,960
287,4.831,1138
288,4.848,1169
289,4.864,1512
290,4.881,892
291,4.898,849
292,4.914,703
293,4.931,1031
294,4.947,1126
295,4.964,1109
296,4.981,1411
297,4.997,1298
298,5.014,1698
299,5.031,1198
300,5.047,1460
301,5.064,1167
302,5.081,954
303,5.097,1227
304,5.114,956
305,5.130,1051
306,5.147,1125
307,5.164,1295
308,5.180,1119
309,5.197,1076
310,5.214,1376
311,5.230,1158
312,5.247,1001
313,5.263,1339
314,5.280,1100
315,5.297,1000
316,5.313,884
317,5.330,1115
318,5.347,1105
319,5.363,1728
320,5.380,973
321,5.397,1044
322,5.413,1312
323,5.430,1079
324,5.446,1255
