#"+ BPC Scan stir_75um_sp-r014.d "
#Point,X(Minutes),Y(Counts)
0,0.058,1779
1,0.074,1109
2,0.091,1203
3,0.108,1192
4,0.124,1034
5,0.141,1324
6,0.158,1121
7,0.174,1616
8,0.191,1279
9,0.207,1478
10,0.224,924
11,0.241,847
12,0.257,1605
13,0.274,678
14,0.291,1258
15,0.307,1075
16,0.324,824
17,0.341,1156
18,0.357,1214
19,0.374,896
20,0.390,1452
21,0.407,1644
22,0.424,1163
23,0.440,721
24,0.457,1302
25,0.474,1280
26,0.490,850
27,0.507,1115
28,0.524,1174
29,0.540,1702
30,0.557,1342
31,0.573,1447
32,0.590,862
33,0.607,1194
34,0.623,1275
35,0.640,1145
36,0.657,1313
37,0.673,1192
38,0.690,1322
39,0.706,1045
40,0.723,1726
41,0.740,1226
42,0.756,1250
43,0.773,1263
44,0.790,1226
45,0.806,1228
46,0.823,942
47,0.840,1353
48,0.856,996
49,0.873,878
50,0.889,1004
51,0.906,862
52,0.923,1268
53,0.939,1116
54,0.956,728
55,0.973,1131
56,0.989,1076
57,1.006,943
58,1.023,1548
59,1.039,1014
60,1.056,1069
61,1.072,872
62,1.089,1572
63,1.106,1022
64,1.122,1226
65,1.139,840
66,1.156,1271
67,1.172,1719
68,1.189,915
69,1.205,1281
70,1.222,1029
71,1.239,1319
72,1.255,1451
73,1.272,1314
74,1.289,877
75,1.305,1212
76,1.322,1283
77,1.339,895
78,1.355,1339
79,1.372,849
80,1.388,1016
81,1.405,1091
82,1.422,1247
83,1.438,935
84,1.455,984
85,1.472,1495
86,1.488,1007
87,1.505,1001
88,1.522,1451
89,1.538,1536
90,1.555,1300
91,1.571,986
92,1.588,1119
93,1.605,1141
94,1.621,1287
95,1.638,1548
96,1.655,964
97,1.671,1534
98,1.688,1028
99,1.704,1127
100,1.721,945
101,1.738,1203
102,1.754,1392
103,1.771,1459
104,1.788,1344
105,1.804,1208
106,1.821,1189
107,1.838,1233
108,1.854,1318
109,1.871,1090
110,1.887,1090
111,1.904,1288
112,1.921,1786
113,1.937,952
114,1.954,1420
115,1.971,1750
116,1.987,1004
117,2.004,1198
118,2.021,1216
119,2.037,1542
120,2.054,1227
121,2.070,1595
122,2.087,1093
123,2.104,1219
124,2.120,1356
125,2.137,1265
126,2.154,886
127,2.170,987
128,2.187,780
129,2.203,1243
130,2.220,1138
131,2.237,1057
132,2.253,1080
133,2.270,962
134,2.287,1158
135,2.303,1084
136,2.320,1007
137,2.337,1391
138,2.353,1421
139,2.370,1661
140,2.386,813
141,2.403,1057
142,2.420,864
143,2.436,924
144,2.453,1383
145,2.470,1713
146,2.486,712
147,2.503,1041
148,2.520,763
149,2.536,1711
150,2.553,1239
151,2.569,869
152,2.586,1255
153,2.603,1070
154,2.619,1257
155,2.636,1008
156,2.653,1231
157,2.669,1196
158,2.686,1392
159,2.702,961
160,2.719,1041
161,2.736,1210
162,2.752,1432
163,2.769,1214
164,2.786,1575
165,2.802,1081
166,2.819,1441
167,2.836,1141
168,2.852,1228
169,2.869,1142
170,2.885,1372
171,2.902,1179
172,2.919,1021
173,2.935,1604
174,2.952,1460
175,2.969,1141
176,2.985,1027
177,3.002,981
178,3.019,1465
179,3.035,1111
180,3.052,1424
181,3.068,1321
182,3.085,1490
183,3.102,1119
184,3.118,1152
185,3.135,985
186,3.152,1257
187,3.168,814
188,3.185,1130
189,3.201,1408
190,3.218,1220
191,3.235,1206
192,3.251,1388
193,3.268,1211
194,3.285,1189
195,3.301,1251
196,3.318,1420
197,3.335,1411
198,3.351,1056
199,3.368,1751
200,3.384,1100
201,3.401,2005
202,3.418,1989
203,3.434,1237
204,3.451,1219
205,3.468,1390
206,3.484,1118
207,3.501,1279
208,3.518,1509
209,3.534,1171
210,3.551,1027
211,3.567,1526
212,3.584,1305
213,3.601,1536
214,3.617,1408
215,3.634,1912
216,3.651,1193
217,3.667,1025
218,3.684,866
219,3.700,1567
220,3.717,1443
221,3.734,909
222,3.750,1098
223,3.767,1561
224,3.784,1261
225,3.800,1358
226,3.817,1181
227,3.834,1198
228,3.850,1262
229,3.867,1160
230,3.883,1392
231,3.900,1067
232,3.917,1689
233,3.933,1032
234,3.950,1158
235,3.967,1918
236,3.983,1477
237,4.000,1382
238,4.017,860
239,4.033,1212
240,4.050,1478
241,4.066,1031
242,4.083,1117
243,4.100,1377
244,4.116,964
245,4.133,1543
246,4.150,1270
247,4.166,1013
248,4.183,1156
249,4.199,1123
250,4.216,1151
251,4.233,1706
252,4.249,1286
253,4.266,1269
254,4.283,1337
255,4.299,1517
256,4.316,1562
257,4.333,1392
258,4.349,1168
259,4.366,1496
260,4.382,1713
261,4.399,1116
262,4.416,1088
263,4.432,1094
264,4.449,1279
265,4.466,1544
266,4.482,1026
267,4.499,1341
268,4.516,1086
269,4.532,1494
270,4.549,918
271,4.565,1130
272,4.582,1171
273,4.599,1173
274,4.615,1315
275,4.632,1698
276,4.649,1554
277,4.665,990
278,4.682,1059
279,4.698,1247
280,4.715,1371
281,4.732,1366
282,4.748,1118
283,4.765,1409
284,4.782,862
285,4.798,1246
286,4.815,982
287,4.832,1310
288,4.848,1136
289,4.865,1429
290,4.881,1232
291,4.898,1387
292,4.915,1108
293,4.931,1064
294,4.948,1357
295,4.965,1081
296,4.981,1284
297,4.998,1523
298,5.015,1802
299,5.031,1124
300,5.048,879
301,5.064,1225
302,5.081,1076
303,5.098,956
304,5.114,1205
305,5.131,1268
306,5.148,1189
307,5.164,1363
308,5.181,1151
309,5.197,1146
310,5.214,1098
311,5.231,1049
312,5.247,1645
313,5.264,1401
314,5.281,1114
315,5.297,1167
316,5.314,1214
317,5.331,1675
318,5.347,1150
319,5.364,1285
320,5.380,1165
321,5.397,1367
322,5.414,1251
323,5.430,1472
324,5.447,819
325,5.464,1370
326,5.480,1306
327,5.497,1002
328,5.513,1244
329,5.530,1391
330,5.547,1422
331,5.563,1313
332,5.580,1718
333,5.597,1505
334,5.613,1344
335,5.630,1243
336,5.647,1112
337,5.663,1740
338,5.680,1178
339,5.696,1166
340,5.713,1385
341,5.730,1485
342,5.746,1302
343,5.763,1320
344,5.780,1032
345,5.796,1228
346,5.813,1210
347,5.830,1457
348,5.846,1127
349,5.863,1434
350,5.879,970
351,5.896,1915
352,5.913,1422
353,5.929,1325
354,5.946,943
355,5.963,781
356,5.979,1391
357,5.996,823
358,6.012,1515
359,6.029,1314
360,6.046,1338
361,6.062,1011
362,6.079,1161
363,6.096,797
364,6.112,1332
365,6.129,896
366,6.146,1495
367,6.162,1567
368,6.179,1162
369,6.195,1228
370,6.212,1444
371,6.229,1261
372,6.245,1281
373,6.262,1026
374,6.279,1108
375,6.295,1288
376,6.312,1451
377,6.329,1342
378,6.345,996
379,6.362,1310
380,6.378,1590
381,6.395,1353
382,6.412,1458
383,6.428,1204
384,6.445,1133
385,6.462,1005
386,6.478,1105
387,6.495,837
388,6.511,1959
389,6.528,1381
390,6.545,1492
391,6.561,2102
392,6.578,1385
393,6.595,1245
394,6.611,1467
395,6.628,1368
396,6.645,1043
397,6.661,1114
398,6.678,1578
399,6.694,1259
400,6.711,1317
401,6.728,1339
402,6.744,1422
403,6.761,1266
404,6.778,969
405,6.794,1203
406,6.811,1343
407,6.828,857
408,6.844,1048
409,6.861,926
410,6.877,1089
411,6.894,1211
412,6.911,872
413,6.927,1142
414,6.944,1862
415,6.961,1061
416,6.977,984
417,6.994,1231
418,7.010,877
419,7.027,725
420,7.044,1103
421,7.060,1405
422,7.077,1038
423,7.094,689
424,7.110,1290
425,7.127,1460
426,7.144,1301
427,7.160,1510
428,7.177,1580
429,7.194,1161
430,7.210,1630
431,7.227,1264
432,7.243,1305
433,7.260,1078
434,7.277,1340
435,7.293,1254
436,7.310,1123
437,7.327,1340
438,7.343,1271
439,7.360,1419
440,7.376,1662
441,7.393,1407
442,7.410,1220
443,7.426,1278
444,7.443,1073
445,7.460,1113
446,7.476,1441
447,7.493,1349
448,7.510,1183
449,7.526,1125
450,7.543,995
451,7.559,1266
452,7.576,1569
453,7.593,1181
454,7.609,1505
455,7.626,1122
456,7.643,910
457,7.659,1472
458,7.676,1701
459,7.693,1018
460,7.709,1305
461,7.726,1464
462,7.742,1322
463,7.759,1464
464,7.776,1408
465,7.792,1495
466,7.809,1104
467,7.826,1358
468,7.842,1331
469,7.859,842
470,7.875,1319
471,7.892,1340
472,7.909,1295
473,7.925,1251
474,7.942,1847
475,7.959,896
476,7.975,1092
477,7.992,1324
478,8.009,1422
479,8.025,1052
480,8.042,1591
481,8.058,808
482,8.075,1404
483,8.092,1561
484,8.108,1238
485,8.125,1163
486,8.142,1197
487,8.158,1041
488,8.175,1475
489,8.192,1059
490,8.208,1333
491,8.225,954
492,8.241,1450
493,8.258,1171
494,8.275,1219
495,8.291,987
496,8.308,1223
497,8.325,1033
498,8.341,962
499,8.358,1096
500,8.374,1338
501,8.391,1491
502,8.408,1722
503,8.424,1024
504,8.441,846
505,8.458,1469
506,8.474,1481
507,8.491,1042
508,8.508,1242
509,8.524,1896
510,8.541,1366
511,8.557,1278
512,8.574,1065
513,8.591,1328
514,8.607,1553
515,8.624,1206
516,8.641,1014
517,8.657,1411
518,8.674,1348
519,8.691,1421
520,8.707,970
521,8.724,1229
522,8.740,1344
523,8.757,1354
524,8.774,1445
525,8.790,997
526,8.807,1382
527,8.824,1359
528,8.840,1112
529,8.857,1309
530,8.873,1295
531,8.890,1006
532,8.907,1054
533,8.923,1424
534,8.940,1183
535,8.957,1156
536,8.973,801
537,8.990,1133
538,9.007,1062
539,9.023,979
540,9.040,1284
541,9.056,1064
542,9.073,1730
543,9.090,1845
544,9.106,970
545,9.123,1252
546,9.140,1854
547,9.156,1042
548,9.173,1439
549,9.190,989
550,9.206,1045
551,9.223,1081
552,9.239,1048
553,9.256,824
554,9.273,1467
555,9.289,1123
556,9.306,998
557,9.323,1160
558,9.339,1293
559,9.356,1085
560,9.372,1425
561,9.389,1767
562,9.406,662
563,9.422,1945
564,9.439,1326
565,9.456,1303
566,9.472,1924
567,9.489,1265
568,9.506,1326
569,9.522,869
570,9.539,1637
571,9.555,1092
572,9.572,966
573,9.589,880
574,9.605,1331
575,9.622,1347
576,9.639,929
577,9.655,1087
578,9.672,1053
579,9.689,1131
580,9.705,1554
581,9.722,1815
582,9.738,1439
583,9.755,1382
584,9.772,1337
585,9.788,1156
586,9.805,1552
587,9.822,1268
588,9.838,1428
589,9.855,1239
590,9.871,1122
