#"+ Scan (rt: 25.990 min) unstir_75_Ecoli-r007.d "
#Point,X(Thompsons),Y(Counts)
127,632.78289,338.320373535156
128,632.84300,329.230773925781
129,632.96824,349.437927246094
130,633.05301,228.134552001953
131,633.12269,302.602508544922
132,633.27693,349.558135986328
133,633.33082,376.080108642578
134,633.44972,272.327209472656
135,634.30819,537.405029296875
136,634.87600,260.512298583984
137,635.29911,463.057495117188
138,635.54150,586.346801757813
139,635.65357,250.521743774414
140,635.69531,327.4970703125
141,636.12011,280.245361328125
142,636.52002,268.125
143,636.62901,209.711029052734
144,637.26100,215.000823974609
145,637.33354,227.609466552734
146,637.42988,226.519226074219
147,637.67753,323.101257324219
148,637.70438,399.380859375
149,637.94984,391.166198730469
150,638.09795,269.293701171875
151,638.32787,310.009521484375
152,638.42825,268.467834472656
153,638.58566,266.114624023438
154,638.70105,650.797119140625
155,638.77014,425.734985351563
156,638.93019,1188.06689453125
157,638.97127,678.040832519531
158,639.06058,1287.50573730469
159,639.17471,600.029602050781
160,639.29335,1174.61511230469
161,639.55443,200.077590942383
162,639.96663,215.587905883789
163,640.33331,646.828796386719
164,640.41320,463.711029052734
165,640.58925,554.329223632813
166,640.68121,564.116149902344
167,640.93302,463.009246826172
168,640.98909,483.954833984375
169,641.04851,479.285705566406
170,641.31273,787.546142578125
171,641.49578,245.482147216797
172,641.55633,451.914093017578
173,641.63024,408.451782226563
174,641.93650,269.106719970703
175,642.01349,253.890441894531
176,642.06974,257.680541992188
177,642.29098,429.520843505859
178,642.67662,211.524322509766
179,642.94481,259.210327148438
180,643.00065,278
181,643.06035,413.074371337891
182,643.10112,351.843963623047
183,643.17404,305.286437988281
184,643.27830,273.061370849609
185,643.53414,591.242004394531
186,643.81117,442.612915039063
187,643.90850,291.013336181641
188,644.13284,320.67822265625
189,644.19767,363.94287109375
190,644.30178,683.015197753906
191,644.50813,203.550003051758
192,644.54151,272.629638671875
193,644.66327,393.785308837891
194,644.81759,362.66748046875
195,644.87108,533.293701171875
196,644.94398,516.081665039063
197,645.00951,233.013549804688
198,645.17122,483.176116943359
199,645.29143,434.606811523438
200,645.53028,389.00634765625
201,645.60689,426.241607666016
202,645.68570,301.002136230469
203,646.01287,557.835632324219
204,646.07715,309.60400390625
205,646.23208,470.779418945313
206,646.28849,591.964904785156
207,646.62795,435.176208496094
208,647.29632,499.110290527344
209,647.35113,600.280090332031
210,647.76637,279.982788085938
211,647.94741,200.222229003906
212,648.04773,292.509429931641
213,648.11580,300.3115234375
214,648.20812,313.125
215,648.29668,331.888977050781
216,648.65033,207.945220947266
217,648.98108,341.126403808594
218,649.54063,416.45556640625
219,649.78929,248.931198120117
220,649.96728,642.228942871094
221,650.26824,260.717041015625
222,650.30969,232.050003051758
223,650.41942,443.326538085938
224,650.74711,262.781768798828
225,650.82338,313.290008544922
226,651.25137,226.049179077148
227,651.79267,302.324676513672
228,651.95281,253.12255859375
229,652.12593,363.016784667969
230,652.26312,542.000549316406
231,652.40316,385.134765625
232,652.67410,296.335845947266
233,652.86930,216.142715454102
234,653.02498,692.580383300781
235,653.25641,467.696044921875
236,653.32044,219.809997558594
237,653.81831,215.285720825195
238,653.94336,469.885375976563
239,654.03469,331.127044677734
240,654.31613,288.643615722656
241,654.39142,325.131530761719
242,654.62090,304.631164550781
243,654.65870,286.777893066406
244,654.93120,256.778228759766
245,655.22434,244.08332824707
246,655.30337,373.056030273438
247,655.36307,384.016082763672
248,655.52870,491.290649414063
249,655.60810,222.040588378906
250,655.80981,204.654525756836
251,656.09998,237.067047119141
252,656.23527,278.406433105469
253,656.31011,397.308685302734
254,656.56397,263.400573730469
255,656.64109,366.884948730469
256,656.83881,221.546722412109
257,657.20283,213.30615234375
258,657.29624,303.823516845703
259,657.41179,477.142852783203
260,657.57059,224.267852783203
261,657.60967,208.440048217773
262,657.72852,274.667724609375
263,657.80618,325.959197998047
264,658.01608,254.432891845703
265,658.05971,406.350006103516
266,658.18268,383.491119384766
267,658.31191,467.031097412109
268,658.38209,258.294921875
269,658.50788,368.557678222656
270,658.71072,209.349639892578
271,658.80922,254.160049438477
272,658.93025,281.636352539063
273,659.30734,514.073547363281
274,659.50570,340.944702148438
275,659.55748,240.115386962891
276,659.63539,225.349807739258
277,660.25899,218.775543212891
278,660.40978,366.526397705078
279,660.76208,300.530883789063
280,660.81726,279.562164306641
281,661.29455,500.490234375
282,661.52553,405.760070800781
283,661.70466,323.297302246094
284,661.96521,228.20166015625
285,662.31306,384.611846923828
286,662.61590,328.173858642578
287,662.65758,275.000854492188
288,662.77350,265.906036376953
289,663.08321,355.024230957031
290,663.12637,265.875
291,663.30475,367.020416259766
292,663.55574,481.206665039063
293,663.68235,296.516143798828
294,663.74455,289.894744873047
295,663.88965,314.328948974609
296,664.11067,276.164459228516
297,664.20418,350.001953125
298,664.29749,435.369873046875
299,664.52350,261.387817382813
300,664.71302,404.247955322266
301,665.02612,349.911315917969
302,665.30169,310.593383789063
303,665.59520,293.267730712891
304,666.18318,229.743896484375
305,666.26162,260.337310791016
306,666.32013,410.130432128906
307,666.82037,430.0380859375
308,667.02160,497.465209960938
309,667.11733,438.43212890625
310,667.31522,545.482116699219
311,668.25780,279.667297363281
312,668.30527,358.694305419922
313,668.51553,349.318359375
314,668.56086,487.703704833984
315,668.65258,466.562255859375
316,668.77236,277.30224609375
317,668.87339,375.400726318359
318,669.02997,276.072570800781
319,669.09174,433.561920166016
320,669.25657,225.565063476563
321,669.31487,358.801330566406
322,669.35492,207.481475830078
323,669.65910,374.546722412109
324,669.91037,526.144409179688
325,669.95762,385.071441650391
326,670.12095,434.745574951172
327,670.27025,877.0029296875
328,670.47759,578.917846679688
329,670.57549,596.144165039063
330,670.61684,803.368835449219
331,670.73683,299
332,670.81897,540.419494628906
333,670.91697,224.139541625977
334,671.17111,262.625
335,671.21952,228.25
336,671.31782,241.111114501953
337,671.66306,855.983520507813
338,671.70141,522.054138183594
339,671.75004,352.568176269531
340,671.83040,307.111602783203
341,671.88985,330.458984375
342,672.04127,238.77165222168
343,672.13789,271.534881591797
344,672.24301,457.593231201172
345,672.32417,542.516540527344
346,672.42980,341.043090820313
347,672.57895,457.142395019531
348,672.65594,459.169128417969
349,672.78543,457.007537841797
350,672.92972,263.570953369141
351,673.18220,276.901702880859
352,673.32264,396.060607910156
353,673.45720,379.083343505859
354,673.66239,320.244995117188
355,674.03528,425.551147460938
356,674.09927,354.185577392578
357,674.23735,465
358,674.30901,377.009613037109
359,674.44120,988.645080566406
360,674.48850,556.657775878906
361,674.55947,390.580352783203
362,674.66064,529.375
363,674.75295,476.571350097656
364,674.85964,342.667938232422
365,674.96426,248.684204101563
366,675.13437,365.960784912109
367,675.21625,459.415222167969
368,675.31835,342.001342773438
369,675.41546,260.321441650391
370,675.58356,523.072021484375
371,675.64718,404.917572021484
372,675.79514,538.852294921875
373,675.90292,317.179718017578
374,676.19512,229.114288330078
375,676.25698,350.111267089844
376,676.30107,422.4375
377,676.37364,341
378,676.49700,267.146850585938
379,676.63682,301.186248779297
380,676.84233,223.53759765625
381,677.23989,326.837493896484
382,677.30345,785.635009765625
383,677.40239,323.486419677734
384,677.49509,232.235290527344
385,677.60252,225.273773193359
386,677.74463,393.145446777344
387,677.85270,487.041656494141
388,677.99837,291.710113525391
389,678.16228,402.844299316406
390,678.32147,215.214996337891
391,678.74065,363.890258789063
392,678.95505,308
393,679.73644,304.795989990234
394,680.01557,279.401092529297
395,680.08112,361.580322265625
396,680.59445,265.077117919922
397,680.81484,368.075592041016
398,680.91465,279.827178955078
399,680.97741,321.05126953125
400,681.17539,504.112060546875
401,681.22845,313.031555175781
402,681.31930,724.002380371094
403,681.43410,492.074584960938
404,681.56003,722.718383789063
405,681.70086,329.695526123047
406,681.81104,355.128997802734
407,681.94498,692.93212890625
408,682.05234,863.778137207031
409,682.20053,312.168304443359
410,682.30598,565.685180664063
411,682.42651,549.230773925781
412,682.56534,694.108215332031
413,682.86371,297.176086425781
414,682.94982,220.016387939453
415,683.07444,257.880218505859
416,683.19788,217.820892333984
417,683.28069,508.992248535156
418,683.36463,215.46940612793
419,683.81643,395.786773681641
420,683.95314,305.390625
421,684.05522,225.309066772461
422,684.18064,386.728576660156
423,684.22431,330.290863037109
424,684.32236,328.066680908203
425,684.72202,443.512512207031
426,684.84922,482.200378417969
427,685.23532,298.054718017578
428,685.25625,229.867858886719
429,685.33961,256.75
430,685.52896,325.189392089844
431,685.59767,376.039215087891
432,685.74727,286.607666015625
433,685.83228,570.836242675781
434,685.93834,404.946807861328
435,686.01009,461.733764648438
436,686.24138,282.18408203125
437,686.30568,432.160552978516
438,686.46105,229.657531738281
439,686.52277,338.009246826172
440,686.60822,359.388153076172
441,686.81369,266.650970458984
442,686.99022,238.296432495117
443,687.06461,554.948181152344
444,687.20399,261.781463623047
445,687.32570,474.159088134766
446,687.39101,263.551483154297
447,687.50054,295.446594238281
448,687.65566,442.227142333984
449,687.71109,582.526184082031
450,687.80677,248.140365600586
451,688.00684,283.5
452,688.12470,230.481002807617
453,688.30342,683.080017089844
454,688.48526,446.891815185547
455,688.52898,435.200012207031
456,688.82329,545.563659667969
457,689.05731,376.94091796875
458,689.31073,659.01416015625
459,689.58886,307.22314453125
460,689.69297,637.085083007813
461,689.80151,301.451507568359
462,689.99327,393.068695068359
463,690.06386,515.625
464,690.31207,295.987670898438
465,690.43258,284.002593994141
466,690.61136,819.360290527344
467,690.85366,481.632019042969
468,690.98451,511.018951416016
