CHROMATOGRAM,
Hela10k10.raw,
Data points: 3444,
Time,Intensity
13.27162661,7075.639648
13.29339736,6649.881836
13.31521489,6625.95459
13.33639054,5836.601563
13.35805904,5792.814941
13.37957006,4712.755859
13.40221919,3979.917969
13.42429463,4779.732422
13.44602398,4822.231934
13.46858014,5067.974609
13.49118769,4185.208496
13.51277666,4762.979004
13.53456731,6790.312988
13.55743091,4498.975586
13.57922636,5414.162598
13.60116581,4608.022461
13.62357971,4500.870605
13.64646624,3870.700928
13.66851341,4792.656738
13.69058073,4737.359863
13.71193466,4814.624023
13.73378746,4500.917969
13.75718134,3482.642822
13.77966441,3669.631592
13.80224957,3876.827393
13.82415141,4280.0625
13.84680171,4227.223145
13.86831001,11801.13477
13.89057788,4042.204346
13.91256856,29691.87891
13.93536063,4421.916504
13.95733457,7596.572266
13.97991544,3507.737549
14.00202884,5503.204102
14.02511652,4022.667969
14.04724042,4734.577637
14.06953536,29512.30469
14.09308974,3821.135986
14.11522851,4470.355957
14.13793836,3374.091553
14.16060522,3848.604736
14.18329372,3222.688965
14.20540031,4143.102539
14.22737371,4362.451172
14.24957016,3791.72168
14.27139994,7172.070801
14.29338973,5815.813477
14.31552068,4185.555176
14.33792527,4280.541504
14.36048549,3477.937744
14.38310597,3598.508545
14.40499471,3824.164795
14.42713048,10219.5293
14.44933666,4817.88623
14.47224961,2891.306152
14.49594566,3424.753906
14.51944348,3272.513916
14.54177444,4110.504395
14.56660204,2679.106201
14.59733276,1620.933472
14.63193141,1426.421997
14.66653088,1245.426514
14.68946819,3441.360107
14.71894841,1852.841309
14.74848909,1909.456787
14.77451429,2431.102295
14.79913966,2992.362061
14.82315626,2729.315918
14.84639337,3202.563477
14.86805516,4782.597656
14.89283081,2612.108643
14.91803361,2381.912842
14.94149907,2832.661621
14.96511023,2748.026611
14.98677259,4763.410645
15.00791184,5003.507324
15.02868359,5831.272461
15.04910467,5497.919922
15.07041912,4083.877441
15.09297127,3406.326172
15.11670758,3047.2146
15.13924338,4145.542969
15.16203301,3514.720947
15.18467327,3235.884033
15.20689919,6145.462402
15.22919997,6400.812012
15.25169606,4976.38623
15.27395008,5292.733887
15.29644691,4338.493164
15.31933934,4193.35498
15.34176259,7867.004395
15.36412616,4527.709473
15.38640966,8726.546875
15.40823387,16757.26172
15.42995377,8223.540039
15.45187191,6125.897949
15.47389348,7066.047852
15.49548746,17045.56641
15.51737514,7164.40625
15.53877637,7408.886719
15.56065989,12792.77539
15.58272099,6969.177734
15.60505822,7524.82959
15.62661594,9088.305664
15.64837416,10594.91016
15.67023838,22597.58398
15.69200444,8714.259766
15.71352326,8352.504883
15.73526574,5891.999512
15.75741204,6839.32373
15.77899836,7026.044434
15.80064367,9092.875977
15.82228934,8399.019531
15.84416341,8040.407227
15.86605341,13472.78711
15.88757359,10517.02832
15.90925374,10206.05078
15.93049242,12299.62402
15.95190969,11740.33106
15.97354908,11332.53906
15.99465246,9529.147461
16.01676146,7404.648438
16.03867002,8120.674805
16.06090602,6709.940918
16.08329154,7070.058594
16.10513636,7980.756836
16.12656294,7920.822754
16.14791426,10738.79004
16.16937691,9428.958008
16.19127949,9490.521484
16.21315276,12369.20313
16.23522257,8675.071289
16.25674142,8673.352539
16.27794199,7288.388184
16.29963141,9185.183594
16.32097289,10537.69043
16.34259801,8300.139648
16.36429366,9556.601563
16.38625801,7207.796875
16.40754662,16813.07031
16.42910672,10072.17188
16.45042797,10846.52246
16.47182094,32502.95117
16.49320308,11985.19727
16.51455572,8904.819336
16.53572983,8436.951172
16.55730871,7091.304199
16.57848544,9581.452148
16.59971389,10360.63867
16.62076154,10109.10742
16.64209116,9948.087891
16.66370372,7756.915039
16.68463821,8933.182617
16.70591496,7714.362305
16.72675159,11057.88672
16.74812582,12325.6084
16.76914049,9513.111328
16.79022524,12141.45313
