CHROMATOGRAM,
hela10k03.raw,
Data points: 3254,
Time,Intensity
0.002313916,45662.80078
0.035951371,11384.88672
0.065545721,20837.28711
0.094928125,20255.47852
0.123466141,21033.54688
0.151371391,23754.90234
0.179847621,22672.99805
0.208701224,21354.47656
0.237650374,20871.11133
0.266202672,21999.61133
0.295269457,19713.66992
0.32539664,18448.62109
0.353911622,20894.75977
0.382516058,20812.99219
0.411360354,20053.70508
0.440110556,19752.78125
0.469240057,19315.4668
0.497864055,21807.14063
0.525699774,23222.70117
0.552963423,25121.56836
0.581178192,23159.96484
0.607873058,26040.88867
0.637673707,20483.91797
0.666465723,21879.02344
0.695913874,19735.07031
0.72492274,21170.55859
0.753553008,22256.05273
0.782218241,21909.27148
0.810548956,21782.7168
0.839502775,20036.73438
0.86848909,20024.52734
0.89718544,21207.92188
0.926880407,19755.67188
0.954682723,22489.04688
0.983845607,19931.27539
1.012998958,21806.79297
1.041566808,21700.26953
1.069934804,22807.83398
1.098273058,23351.62109
1.125863488,23864.78711
1.154078189,24381.80273
1.182418008,22007.17773
1.210924275,21864.23438
1.23953009,21663.95117
1.268282858,22347.42383
1.297250973,22772.02734
1.325491789,22341.52539
1.354409455,20823.33984
1.382545606,22137.38086
1.411218623,22666.54297
1.440294038,19813.43945
1.468409975,22153.67969
1.497114824,20605.85742
1.526200572,19635.69922
1.555221672,20951.75
1.584788071,19007.15234
1.61350729,20847.75977
1.64251939,20593.30273
1.67145179,20255.67969
1.700344975,20568.00391
1.731230191,17939.83008
1.760635856,19306.52734
1.790692639,18041.36133
1.820468504,19294.6543
1.849183324,21218.00781
1.877264392,22937.72461
1.905747123,21366.2207
1.93614004,18827.99023
1.965245942,21497.80859
1.99434059,20604.31055
2.022507758,22155.85938
2.051023971,22233.16602
2.080211591,20593.19727
2.110550188,17644.12891
2.139787208,19324.33789
2.16863164,20188.82031
2.197816355,20739.92969
2.226232139,20612.86719
2.255449056,19185.2168
2.28334759,22880.80078
2.311790807,21784.47656
2.340475121,21167.33984
2.369162606,21496.52539
2.398502238,20041.92773
2.428119373,19422.39648
2.457701158,19984.03516
2.486201274,22317.41406
2.51415044,22227.69727
2.542415972,23675.87109
2.570780575,22366.48828
2.599889723,20683.48047
2.629860873,18924.74219
2.660020824,18993.37305
2.689161491,19372.55664
2.717858373,21335.50781
2.746695323,19447.19922
2.775418988,21941.74023
2.804331258,21630.14258
2.833262757,19642.02148
2.862226474,20774.25391
2.891392175,19422.60938
2.920551923,20327.55664
2.950665223,18582.41797
2.979715855,21656.83398
3.007762157,22761.79297
3.037360222,19213.07813
3.066195873,21505.21484
3.095092888,21419.7207
3.124213023,20137.625
3.153269707,19551.90234
3.181925956,19925.25586
3.211138458,20789.32617
3.239827922,19830.73633
3.268819856,21016.02734
3.297359271,22567.47461
3.32626814,20847.16992
3.355805257,19305.44141
3.385345323,20070.62305
3.414583205,20949.10352
3.443220972,21576.26758
3.472134105,30440.52539
3.500781889,22431.41992
3.529593523,21420.76172
3.558608356,21054.32422
3.587064842,22219.27148
3.615803591,21119.57422
3.644161939,21643.33398
3.672554258,21997.97266
3.701398622,20850.2168
3.730574273,20008.30469
3.75903029,23379.44141
3.787636474,22010.51172
3.816393923,20447.66602
3.845046591,21883.66797
3.873548674,20929.87305
3.902694956,20867.07617
3.931960657,19796.66992
3.960303858,21700.23438
3.989759206,18946.70898
4.018083091,22418.56055
4.046425155,21375.66016
4.075156088,21024.62891
4.104062441,19818.32813
4.132204524,23651.08008
4.160695874,20986.97852
4.189818358,20164.37109
4.218647074,21186.51367
4.247749324,19935.7168
4.275780757,23289.13672
