CHROMATOGRAM,
hela10k06.raw,
Data points: 3302,
Time,Intensity
6.184655324,18086.06055
6.210017192,14775.94434
6.235377824,16793.77539
6.261017107,13965.62793
6.286706908,15283.88672
6.311896009,14098.31738
6.336870642,13603.65918
6.36216104,15159.29688
6.387302843,13573.41895
6.412229358,12554.13477
6.437726008,22758.60547
6.462745558,15050.99609
6.487950225,15961.22461
6.513417625,16303.93945
6.538882442,17557.16406
6.564546123,13091.5
6.589704723,16036.98535
6.615283556,14284.78906
6.640897623,17697.92578
6.665803559,14623.16406
6.691545176,15408.44434
6.71739159,12440.84766
6.74257969,18176.875
6.767739573,37989.14844
6.792775026,18073.41602
6.81785194,15227.44043
6.843238142,16240.15039
6.868985326,15248.60938
6.894491692,16015.2959
6.919647458,14414.37207
6.945603906,11358.14063
6.970653541,17613.14648
6.996541873,15518.75098
7.022331976,14691.90039
7.047679674,15399.25586
7.072815859,19663.72656
7.098529076,15038.9834
7.124685473,13656.1084
7.150901523,12443.08691
7.175915074,24825.9707
7.20067954,21678.91797
7.226505557,12500.18262
7.252321207,14679.09863
7.277230206,17218.94922
7.302569075,15911.51953
7.328197741,30253.96484
7.353889973,16966.375
7.379190643,12439.96484
7.404474889,38332.80469
7.429652742,20825.46094
7.455431008,13660.15039
7.480415641,29048.35938
7.505847092,16397.88477
7.531869156,13268.57324
7.556807593,25286.33203
7.583031292,35781.45703
7.608480524,33589.79297
7.633855326,23614.51367
7.65851939,64439.48828
7.683351742,16852.01367
7.708784273,31158.30078
7.734854856,21751.57422
7.76109604,13585.02246
7.78808904,16484.81445
7.814792676,26205.27344
7.841249958,12630.55273
7.86607629,27704.17188
7.892595541,26435.31055
7.918480924,25108.39258
7.943142775,75189.26563
7.968244123,40805.37891
7.994103975,42356.25391
8.018729126,29338.79492
8.043932791,25610.89063
8.07024244,16048.56055
8.096475175,31622.23828
8.121724907,44128.57422
8.147624842,23249.33789
8.172541693,27584.92578
8.197937841,18194.51563
8.223612757,22229.72266
8.249591123,20687.66992
8.274927774,23855.28906
8.299828692,18144.08984
8.325741791,24605.77148
8.351484958,16733.42578
8.377558541,15334.07422
8.403736376,16543.25391
8.429659358,29286.32422
8.454505542,19501.17969
8.481560241,17052.48242
8.507456858,20320.82813
8.542064225,8216.449219
8.576663291,13008.37793
8.611262893,12649.02051
8.642958024,14430.38965
8.677561525,10156.04981
8.712160241,8370.172852
8.746759291,11778.24316
8.78135906,11549.67285
8.815957891,18338.75977
8.850557223,9754.108398
8.885156241,15106.9834
8.919755593,11020.67578
8.95435479,10533.95508
8.988953824,15530.83594
9.023553057,14051.01172
9.058152524,12927.9502
9.09275124,21634.55859
9.127350842,11132.99219
9.16194994,30996.81055
9.196549792,14599.45606
9.231148107,15362.3457
9.265749625,11425.47168
9.300346576,9543.299805
9.33494604,14660.28516
9.36954594,10104.05273
9.404144159,10046.00781
9.438743606,10772.54688
9.473342092,9751.311523
9.507941706,17841.68555
9.542541193,10845.35645
9.577140358,10327.51172
9.611739408,21343.42383
9.646338343,13679.70508
9.680937425,15047.12012
9.715537257,15006.37207
9.750135556,8289.472656
9.784735758,9840.460938
9.819334423,8568.369141
9.853933473,10463.96582
9.888533075,9785.981445
9.92313201,12586.26367
9.957747693,9954.96582
9.992346723,34154.5
10.02694612,11641.46191
