#"+ BPC Scan stir_50nm_sp-r020.d "
#Point,X(Minutes),Y(Counts)
0,0.054,1349
1,0.071,1109
2,0.087,969
3,0.104,1346
4,0.121,1365
5,0.137,892
6,0.154,1442
7,0.170,1468
8,0.187,1388
9,0.204,1523
10,0.220,1336
11,0.237,912
12,0.254,1285
13,0.270,1123
14,0.287,1345
15,0.304,1107
16,0.320,1125
17,0.337,1420
18,0.353,1153
19,0.370,1456
20,0.387,1741
21,0.403,979
22,0.420,1345
23,0.437,1285
24,0.453,1311
25,0.470,1155
26,0.486,1361
27,0.503,1514
28,0.520,1128
29,0.536,1249
30,0.553,1311
31,0.570,1376
32,0.586,1216
33,0.603,1426
34,0.620,1314
35,0.636,1287
36,0.653,1498
37,0.669,977
38,0.686,1552
39,0.703,1557
40,0.719,1436
41,0.736,1450
42,0.753,1582
43,0.769,1190
44,0.786,1017
45,0.803,1067
46,0.819,1584
47,0.836,865
48,0.852,1434
49,0.869,1354
50,0.886,1472
51,0.902,889
52,0.919,936
53,0.936,1017
54,0.952,1416
55,0.969,1160
56,0.985,1279
57,1.002,1055
58,1.019,1055
59,1.035,885
60,1.052,1595
61,1.069,1429
62,1.085,1263
63,1.102,1000
64,1.119,1453
65,1.135,946
66,1.152,1189
67,1.168,1459
68,1.185,1496
69,1.202,1430
70,1.218,1139
71,1.235,1101
72,1.252,1576
73,1.268,858
74,1.285,1348
75,1.302,1207
76,1.318,1254
77,1.335,1017
78,1.351,1080
79,1.368,936
80,1.385,1305
81,1.401,1107
82,1.418,1903
83,1.435,1113
84,1.451,1654
85,1.468,1087
86,1.484,1178
87,1.501,1622
88,1.518,1131
89,1.534,1338
90,1.551,1679
91,1.568,1195
92,1.584,1001
93,1.601,802
94,1.618,1899
95,1.634,1126
96,1.651,1266
97,1.667,971
98,1.684,1520
99,1.701,1216
100,1.717,1101
101,1.734,1522
102,1.751,1243
103,1.767,1231
104,1.784,1156
105,1.801,1257
106,1.817,1672
107,1.834,1232
108,1.850,1154
109,1.867,1460
110,1.884,1354
111,1.900,1106
112,1.917,1553
113,1.934,1054
114,1.950,1220
115,1.967,1246
116,1.983,1513
117,2.000,1236
118,2.017,1148
119,2.033,1327
120,2.050,1035
121,2.067,1195
122,2.083,1017
123,2.100,1595
124,2.117,1177
125,2.133,962
126,2.150,1182
127,2.166,1183
128,2.183,1291
129,2.200,1624
130,2.216,1366
131,2.233,1263
132,2.250,1319
133,2.266,1107
134,2.283,1368
135,2.300,1259
136,2.316,1199
137,2.333,1817
138,2.349,1400
139,2.366,2131
140,2.383,1372
141,2.399,1083
142,2.416,1484
143,2.433,1659
144,2.449,1555
145,2.466,1515
146,2.482,1094
147,2.499,1086
148,2.516,1614
149,2.532,1573
150,2.549,1054
151,2.566,1131
152,2.582,1843
153,2.599,1073
154,2.616,1402
155,2.632,1522
156,2.649,1700
157,2.665,1001
158,2.682,1567
159,2.699,1142
160,2.715,1216
161,2.732,1330
162,2.749,1159
163,2.765,1238
164,2.782,1494
165,2.799,1515
166,2.815,1001
167,2.832,1249
168,2.848,1565
169,2.865,1570
170,2.882,1386
171,2.898,1696
172,2.915,1767
173,2.932,2013
174,2.948,1646
175,2.965,1154
176,2.981,1445
177,2.998,1668
178,3.015,1287
179,3.031,1091
180,3.048,1491
181,3.065,1405
182,3.081,1412
183,3.098,1092
184,3.115,1454
185,3.131,1077
186,3.148,1239
187,3.164,1162
188,3.181,999
189,3.198,1868
190,3.214,1227
191,3.231,1535
192,3.248,1582
193,3.264,1310
194,3.281,1232
195,3.298,997
196,3.314,1150
197,3.331,1878
198,3.347,1041
199,3.364,1044
200,3.381,1160
201,3.397,1512
202,3.414,1703
203,3.431,1169
204,3.447,1234
205,3.464,1076
206,3.480,1139
207,3.497,1365
208,3.514,1344
209,3.530,1730
210,3.547,1173
211,3.564,1319
212,3.580,1178
213,3.597,1193
214,3.614,1438
215,3.630,1318
216,3.647,1090
217,3.663,1217
218,3.680,1848
219,3.697,1445
220,3.713,1465
221,3.730,1349
222,3.747,1743
223,3.763,1113
224,3.780,1098
225,3.797,1199
226,3.813,1167
227,3.830,1030
228,3.846,1436
229,3.863,1191
230,3.880,1065
231,3.896,1081
232,3.913,1109
233,3.930,1237
234,3.946,1262
235,3.963,1423
236,3.979,1365
237,3.996,1518
238,4.013,1133
239,4.029,1815
240,4.046,1094
241,4.063,1328
242,4.079,1764
243,4.096,1163
244,4.113,1117
245,4.129,1506
246,4.146,1720
247,4.163,1676
248,4.179,1199
249,4.196,1280
250,4.212,1542
251,4.229,1372
252,4.246,1589
253,4.262,1392
254,4.279,1153
255,4.296,1073
256,4.312,1610
257,4.329,1354
258,4.345,1386
259,4.362,1407
260,4.379,1302
261,4.395,1582
262,4.412,1354
263,4.429,1401
264,4.445,1245
265,4.462,1266
266,4.479,1583
267,4.495,1630
268,4.512,1897
269,4.528,1184
270,4.545,1208
271,4.562,1229
272,4.578,2233
273,4.595,1154
274,4.612,1095
275,4.628,1570
276,4.645,1102
277,4.662,1144
278,4.678,1370
279,4.695,1809
280,4.711,971
281,4.728,1385
282,4.745,1310
283,4.761,1429
284,4.778,1218
285,4.795,1223
286,4.811,1843
287,4.828,1111
288,4.844,1317
289,4.861,1481
290,4.878,1239
291,4.894,1321
292,4.911,1379
293,4.928,1415
294,4.944,1152
295,4.961,1026
296,4.978,1571
297,4.994,1265
298,5.011,1221
299,5.027,1311
300,5.044,1344
301,5.061,1344
302,5.077,1220
303,5.094,1634
304,5.111,1017
305,5.127,1615
306,5.144,1407
307,5.160,1215
308,5.177,1195
309,5.194,1931
310,5.210,1330
311,5.227,1174
312,5.244,1175
313,5.260,1467
314,5.277,1190
315,5.294,1240
316,5.310,1142
317,5.327,1688
318,5.343,1638
319,5.360,1526
320,5.377,1410
321,5.393,1419
322,5.410,1371
323,5.427,1537
324,5.443,1783
325,5.460,1409
326,5.477,1092
327,5.493,1139
328,5.510,1414
329,5.526,1481
330,5.543,920
331,5.560,1856
332,5.576,1065
333,5.593,1849
334,5.610,1068
335,5.626,1185
336,5.643,1112
337,5.659,1452
338,5.676,1247
339,5.693,1176
340,5.709,1140
341,5.726,1369
342,5.743,1079
343,5.759,1742
344,5.776,1471
345,5.793,1607
346,5.809,1037
347,5.826,1073
348,5.842,1054
349,5.859,1517
350,5.876,1129
351,5.892,1182
352,5.909,1411
353,5.926,1353
354,5.942,1229
355,5.959,1439
356,5.976,1832
357,5.992,1080
358,6.009,1413
359,6.025,1352
360,6.042,1715
361,6.059,1431
362,6.075,1193
363,6.092,1472
364,6.109,1426
365,6.125,2133
366,6.142,1201
367,6.158,1141
368,6.175,1595
369,6.192,1162
370,6.208,1276
371,6.225,1079
372,6.242,1125
373,6.258,1534
374,6.275,1717
375,6.292,1319
376,6.308,1631
377,6.325,1352
378,6.341,1561
379,6.358,1296
380,6.375,1402
381,6.391,1171
382,6.408,1536
383,6.425,1086
384,6.441,1216
385,6.458,1220
386,6.475,1257
387,6.491,1214
388,6.508,1201
389,6.524,1857
390,6.541,886
391,6.558,1194
392,6.574,1258
393,6.591,1490
394,6.608,1231
395,6.624,1641
396,6.641,1301
397,6.657,1401
398,6.674,1222
399,6.691,1090
400,6.707,1311
401,6.724,1163
402,6.741,1796
403,6.757,1107
404,6.774,1355
405,6.791,1675
406,6.807,1229
407,6.824,1535
408,6.840,1042
409,6.857,1514
410,6.874,1110
411,6.890,1849
412,6.907,1119
413,6.924,1781
414,6.940,1050
415,6.957,1478
416,6.974,1204
417,6.990,1546
418,7.007,1327
419,7.023,1259
420,7.040,1192
421,7.057,1940
422,7.073,1078
423,7.090,1445
424,7.107,1887
425,7.123,1249
426,7.140,1514
427,7.156,1112
428,7.173,1161
429,7.190,1632
430,7.206,1415
431,7.223,1575
432,7.240,1380
433,7.256,963
434,7.273,1509
435,7.290,1112
436,7.306,1832
437,7.323,1297
438,7.339,1323
439,7.356,1397
440,7.373,1175
441,7.389,1259
442,7.406,1939
443,7.423,1249
444,7.439,965
445,7.456,2095
446,7.473,1362
447,7.489,1789
448,7.506,1060
449,7.522,1099
450,7.539,1308
451,7.556,1208
452,7.572,1251
453,7.589,1729
454,7.606,923
455,7.622,1308
456,7.639,1185
457,7.655,1038
458,7.672,1079
459,7.689,1152
460,7.705,1051
461,7.722,1415
462,7.739,1397
463,7.755,1363
464,7.772,1061
465,7.789,1151
466,7.805,1206
467,7.822,1800
468,7.838,1303
469,7.855,1210
470,7.872,1229
471,7.888,1165
472,7.905,1619
473,7.922,1940
474,7.938,1489
475,7.955,1131
476,7.972,759
477,7.988,1225
478,8.005,1186
479,8.021,1282
480,8.038,1038
481,8.055,1721
482,8.071,1006
483,8.088,1549
484,8.105,951
485,8.121,1415
486,8.138,1537
487,8.154,1868
488,8.171,1186
489,8.188,1449
490,8.204,1027
