#"+ BPC Scan stir_50nm_sp-r011.d "
#Point,X(Minutes),Y(Counts)
0,0.054,1483
1,0.071,1061
2,0.087,1866
3,0.104,1666
4,0.121,1462
5,0.137,1447
6,0.154,1140
7,0.171,1018
8,0.187,2165
9,0.204,1219
10,0.220,1034
11,0.237,766
12,0.254,1064
13,0.270,1472
14,0.287,1480
15,0.304,1600
16,0.320,1250
17,0.337,2239
18,0.354,1235
19,0.370,1010
20,0.387,1339
21,0.403,690
22,0.420,1349
23,0.437,982
24,0.453,1152
25,0.470,1213
26,0.487,1833
27,0.503,1082
28,0.520,962
29,0.536,1155
30,0.553,983
31,0.570,859
32,0.586,1294
33,0.603,1081
34,0.620,1050
35,0.636,1404
36,0.653,920
37,0.670,903
38,0.686,896
39,0.703,1595
40,0.719,845
41,0.736,858
42,0.753,1073
43,0.769,1448
44,0.786,991
45,0.803,1164
46,0.819,968
47,0.836,752
48,0.853,1409
49,0.869,1103
50,0.886,1246
51,0.902,1257
52,0.919,1482
53,0.936,845
54,0.952,981
55,0.969,755
56,0.986,763
57,1.002,954
58,1.019,824
59,1.036,519
60,1.052,818
61,1.069,746
62,1.085,710
63,1.102,981
64,1.119,744
65,1.135,747
66,1.152,727
67,1.169,641
68,1.185,1209
69,1.202,659
70,1.218,1345
71,1.235,722
72,1.252,971
73,1.268,751
74,1.285,1006
75,1.302,884
76,1.318,697
77,1.335,872
78,1.352,890
79,1.368,1008
80,1.385,635
81,1.401,921
82,1.418,555
83,1.435,750
84,1.451,795
85,1.468,718
86,1.485,678
87,1.501,763
88,1.518,1012
89,1.534,655
90,1.551,578
91,1.568,910
92,1.584,790
93,1.601,966
94,1.618,815
95,1.634,616
96,1.651,557
97,1.668,897
98,1.684,1052
99,1.701,813
100,1.717,1024
101,1.734,819
102,1.751,698
103,1.767,600
104,1.784,701
105,1.801,1056
106,1.817,798
107,1.834,709
108,1.851,510
109,1.867,951
110,1.884,877
111,1.900,887
112,1.917,745
113,1.934,636
114,1.950,625
115,1.967,561
116,1.984,1361
117,2.000,778
118,2.017,826
119,2.033,1031
120,2.050,828
121,2.067,734
122,2.083,710
123,2.100,720
124,2.117,596
125,2.133,577
126,2.150,889
127,2.167,828
128,2.183,689
129,2.200,775
130,2.216,1073
131,2.233,762
132,2.250,890
133,2.266,794
134,2.283,1090
135,2.300,711
136,2.316,538
137,2.333,632
138,2.350,853
139,2.366,1155
140,2.383,680
141,2.399,624
142,2.416,533
143,2.433,1060
144,2.449,680
145,2.466,605
146,2.483,767
147,2.499,701
148,2.516,531
149,2.532,909
150,2.549,1007
151,2.566,972
152,2.582,786
153,2.599,609
154,2.616,823
155,2.632,694
156,2.649,866
157,2.666,840
158,2.682,764
159,2.699,620
160,2.715,587
161,2.732,1004
162,2.749,1069
163,2.765,738
164,2.782,792
165,2.799,748
166,2.815,923
167,2.832,974
168,2.849,704
169,2.865,671
170,2.882,831
171,2.898,921
172,2.915,848
173,2.932,682
174,2.948,857
175,2.965,703
176,2.982,859
177,2.998,523
178,3.015,1084
179,3.031,611
180,3.048,760
181,3.065,636
182,3.081,1298
183,3.098,696
184,3.115,790
185,3.131,650
186,3.148,596
187,3.165,684
188,3.181,861
189,3.198,1326
190,3.214,1281
191,3.231,849
192,3.248,650
193,3.264,1396
194,3.281,561
195,3.298,757
196,3.314,681
197,3.331,803
198,3.348,1139
199,3.364,739
200,3.381,823
201,3.397,772
202,3.414,857
203,3.431,701
204,3.447,541
205,3.464,691
206,3.481,666
207,3.497,726
208,3.514,716
209,3.530,751
210,3.547,658
211,3.564,824
